,taxonUUID,tfNameCode,taxonRank,scientificName,TT_speciesKey
71062,d4816b7c-7325-405c-9d6d-cd2b57426c94,C303120303050402050549021000600002000,species,Monotropa uniflora L.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Monotropa-Monotropa uniflora L.
71063,e538b1ea-d444-4781-9010-44ebfb737f8d,C303120303050402050549021000600003000,species,Monotropa taiwaniana S.S.Ying,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Monotropa-Monotropa taiwaniana S.S.Ying
71064,4f19cdad-71d0-4eaf-95d3-c8dd49c6adaa,C303120303050402050549021000700001000,species,Monotropastrum humile (D.Don) H.Hara,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Monotropastrum-Monotropastrum humile (D.Don) H.Hara
71065,6d3d13f0-e902-4d30-84c2-473e9417f5c4,C303120303050402050549021000700002000,species,Monotropastrum macrocarpum Andres,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Monotropastrum-Monotropastrum macrocarpum Andres
71066,8596b6dc-a8a6-4b16-b8ed-aec90c45d7d0,C303120303050402050549021000800001000,species,Pieris taiwanensis Hayata,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Pieris-Pieris taiwanensis Hayata
71067,e8584937-1c37-41a6-ac79-7a0ca060c7d3,C303120303050402050549021000900001000,species,Pyrola alboreticulata Hayata,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Pyrola-Pyrola alboreticulata Hayata
71068,f4150bb1-7d33-436a-9cf5-d3b5b0275c7a,C303120303050402050549021000900002000,species,Pyrola japonica Klenze ex Alef.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Pyrola-Pyrola japonica Klenze ex Alef.
71069,79fb5c99-8d61-484b-ba8e-395c0ed9d14e,C303120303050402050549021000900003000,species,Pyrola morrisonensis (Hayata) Hayata,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Pyrola-Pyrola morrisonensis (Hayata) Hayata
71070,05637a6b-8a20-4b70-a631-ccad2dd450b7,C303120303050402050549021001000001000,species,Vaccinium bracteatum Thunb.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Vaccinium-Vaccinium bracteatum Thunb.
71071,ed26407e-c1ec-48df-9df4-98fae271189d,C303120303050402050549021001000002000,species,Vaccinium dunalianum Wight,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Vaccinium-Vaccinium dunalianum Wight
71072,96727ea5-728b-4634-a5f4-17a4e2327229,C303120303050402050549021001000003000,species,Vaccinium emarginatum Hayata,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Vaccinium-Vaccinium emarginatum Hayata
71073,110eecd3-df95-4572-b5da-ff6280affa8c,C303120303050402050549021001000004000,species,Vaccinium japonicum Miq.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Vaccinium-Vaccinium japonicum Miq.
