taxon_id,rank,parent_taxon_id,simple_name,alien_type,is_in_taiwan,protected,redlist,iucn,sensitive,groupID,reason,check_column,TC_URL
t0079180,Species,t0012255,Conus kinoshitai,native,TRUE,"","",LC,"",t0079180,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0079180
t0085483,Subspecies,t0079180,Conus kinoshitai tamikoae,native,TRUE,"","","","",t0079180,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0085483
t0079194,Species,t0012255,Conus marmoreus,native,TRUE,"","",LC,"",t0079194,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0079194
t0085484,Subspecies,t0079194,Conus marmoreus vidua,native,TRUE,"","","","",t0079194,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0085484
t0080093,Species,t0012623,Cyornis hainanus,native,TRUE,"","",LC,"",t0080093,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0080093
t0105435,Subspecies,t0080093,Cyornis hainanus hainanus,native,TRUE,"","","","",t0080093,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0105435
t0080723,Species,t0023029,Muscicapa striata,native,TRUE,"","",LC,"",t0080723,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0080723
t0101031,Subspecies,t0080723,Muscicapa striata mongola,native,TRUE,"","","","",t0080723,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0101031
t0080786,Species,t0023067,Myophonus caeruleus,native,TRUE,"",LC,LC,"",t0080786,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0080786
t0101032,Subspecies,t0080786,Myophonus caeruleus caeruleus,native,TRUE,"",LC,"","",t0080786,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0101032
t0082489,Species,t0013607,Orthetrum melania,native,TRUE,"","",LC,"",t0082489,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0082489
t0101047,Subspecies,t0082489,Orthetrum melania continentale,native,TRUE,"","","","",t0082489,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0101047
t0082490,Species,t0013607,Orthetrum triangulare,native,TRUE,"","",LC,"",t0082490,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0082490
t0098199,Subspecies,t0082490,Orthetrum triangulare triangulare,native,TRUE,"","","","",t0082490,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0098199
t0083776,Species,t0014394,Pericrocotus roseus,native,TRUE,"","",LC,"",t0083776,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0083776
t0105432,Subspecies,t0083776,Pericrocotus roseus roseus,native,TRUE,"","","","",t0083776,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0105432
t0084611,Species,t0024433,Oxalis griffithii,native,TRUE,"","","","",t0084611,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0084611
t0084612,Subspecies,t0084611,Oxalis griffithii subsp. taimonii,native,TRUE,"",VU,"",輕度,t0084611,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0084612
t0101126,Subspecies,t0084611,Oxalis griffithii subsp. formosana,native,TRUE,"",LC,"","",t0084611,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0101126
t0085439,Species,t0123517,Anarhynchus mongolus,native,TRUE,"",LC,EN,"",t0085439,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0085439
t0085440,Subspecies,t0085439,Anarhynchus mongolus stegmanni,native,TRUE,"",LC,"","",t0085439,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0085440
t0086298,Species,t0102344,Spilopelia chinensis,native,TRUE,"",LC,LC,"",t0086298,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0086298
t0102334,Subspecies,t0086298,Spilopelia chinensis chinensis,native,TRUE,"",LC,"","",t0086298,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0102334
t0027176,Subspecies,t0095945,Ixias pyrene insignis,native,TRUE,"",NT,"","",t0095945,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0027176
t0027177,Subspecies,t0095945,Ixias pyrene pyrene,native,TRUE,"","","","",t0095945,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0027177
t0095945,Species,t0021246,Ixias pyrene,native,TRUE,"",NT,"","",t0095945,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0095945
t0085787,Subspecies,t0095946,Ixobrychus flavicollis flavicollis,native,TRUE,"","","","",t0095946,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0085787
t0095946,Species,t0021247,Ixobrychus flavicollis,native,TRUE,"","",LC,"",t0095946,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0095946
t0027185,Subspecies,t0095948,Jamides bochus plato,native,TRUE,"","","","",t0095948,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0027185
t0084554,Subspecies,t0095948,Jamides bochus herodicus,native,TRUE,"","","","",t0095948,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0084554
t0084833,Subspecies,t0095948,Jamides bochus formosanus,native,TRUE,"",LC,"","",t0095948,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0084833
