taxonUUID,taxonRank,kingdom,simplifiedScientificName,scientificName,dup_simplifiedGlobal,dup_simplifiedKingdom,dup_scientificKingdom,TT_URL
07162fa8-253e-4db2-bd80-9299cf011b7a,genus,Animalia,Scaphidium,Scaphidium,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/07162fa8-253e-4db2-bd80-9299cf011b7a
de1d8bfb-3271-428b-86cc-303471dc4040,kingdom,Bacteria,Bacteria,Bacteria,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/de1d8bfb-3271-428b-86cc-303471dc4040
3316e7dc-d682-465d-8816-6b3c01f755a9,genus,Animalia,Gustavia,Gustavia,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/3316e7dc-d682-465d-8816-6b3c01f755a9
fa5a85b7-9570-4bcf-89c7-ba6249b7967a,genus,Animalia,Actaea,Actaea,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/fa5a85b7-9570-4bcf-89c7-ba6249b7967a
dd7858f4-5dc2-42ca-ab01-85b356179aae,genus,Animalia,Ione,Ione,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/dd7858f4-5dc2-42ca-ab01-85b356179aae
9a1555e2-fb63-4063-8bec-6a755f824ba1,genus,Animalia,Kurzia,Kurzia,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/9a1555e2-fb63-4063-8bec-6a755f824ba1
904ac4b5-7a51-4cf2-8078-c3aff3526051,genus,Animalia,Tydemania,Tydemania,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/904ac4b5-7a51-4cf2-8078-c3aff3526051
ad8170a9-a1c8-4c24-8847-d0fe674a1e0c,genus,Animalia,Decodon,Decodon,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/ad8170a9-a1c8-4c24-8847-d0fe674a1e0c
c6afdfc3-bf18-4ceb-88b7-b28bfd8710b5,genus,Animalia,Woodsia,Woodsia,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/c6afdfc3-bf18-4ceb-88b7-b28bfd8710b5
a6b0bd81-b456-4290-b3f4-cf5cad8b8926,genus,Animalia,Rondeletia,Rondeletia,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/a6b0bd81-b456-4290-b3f4-cf5cad8b8926
41844a4d-2342-48bc-9630-4c01601e6989,genus,Animalia,Chloris,Chloris,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/41844a4d-2342-48bc-9630-4c01601e6989
1c4ea7bc-39fe-4f15-bad1-426c0a5242ed,genus,Animalia,Acrocephalus,Acrocephalus,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/1c4ea7bc-39fe-4f15-bad1-426c0a5242ed
b73ba836-1fba-4b99-bddf-a5aa2dcffe96,genus,Animalia,Leiothrix,Leiothrix,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/b73ba836-1fba-4b99-bddf-a5aa2dcffe96
f7c24568-10b2-40ae-bb66-0b6a16593a05,genus,Animalia,Oenanthe,Oenanthe,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/f7c24568-10b2-40ae-bb66-0b6a16593a05
fa6e869b-7221-45dc-aaf6-fe06384a5237,genus,Animalia,Prunella,Prunella,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/fa6e869b-7221-45dc-aaf6-fe06384a5237
b58ed814-b7d8-4519-ab01-7d166e579b1b,genus,Animalia,Arenaria,Arenaria,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/b58ed814-b7d8-4519-ab01-7d166e579b1b
8575a41e-fee1-43ab-becd-dfb51e842422,genus,Animalia,Stenella,Stenella,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/8575a41e-fee1-43ab-becd-dfb51e842422
00f9e33d-db81-4ba1-81de-cfac599d5f3e,genus,Animalia,Thalia,Thalia,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/00f9e33d-db81-4ba1-81de-cfac599d5f3e
81f2895b-43b5-4edd-bc4a-411c7360d3ac,genus,Animalia,Donax,Donax,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/81f2895b-43b5-4edd-bc4a-411c7360d3ac
e440e5e8-7113-491c-89e2-bd67bc1a675c,genus,Animalia,Glossocardia,Glossocardia,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/e440e5e8-7113-491c-89e2-bd67bc1a675c
7aa50df6-2b4c-42f4-980d-84e529ce9ffb,genus,Animalia,Tiarella,Tiarella,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/7aa50df6-2b4c-42f4-980d-84e529ce9ffb
f9b72d5c-fc7f-4f25-bd99-e4b3b3ac6149,genus,Animalia,Pollia,Pollia,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/f9b72d5c-fc7f-4f25-bd99-e4b3b3ac6149
bfb079e2-8df0-4923-9c6d-e8a1d5103da9,genus,Animalia,Myurella,Myurella,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/bfb079e2-8df0-4923-9c6d-e8a1d5103da9
8de13377-2d69-4aa1-b4f3-c9b9eb56eee4,genus,Animalia,Perrottetia,Perrottetia,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/8de13377-2d69-4aa1-b4f3-c9b9eb56eee4
3683b4d0-787f-40eb-985b-0ec02250f103,genus,Animalia,Triphora,Triphora,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/3683b4d0-787f-40eb-985b-0ec02250f103
bb915520-0756-4b92-8878-78c4f8549c7a,genus,Animalia,Acmella,Acmella,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/bb915520-0756-4b92-8878-78c4f8549c7a
032db506-44a2-4f1d-912c-979beb0fadd4,genus,Animalia,Sabia,Sabia,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/032db506-44a2-4f1d-912c-979beb0fadd4
cc102571-cbb4-4a2a-a48f-9633d9126b9f,genus,Animalia,Stellaria,Stellaria,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/cc102571-cbb4-4a2a-a48f-9633d9126b9f
