taxonUUID,taxonRank,kingdom,simplifiedScientificName,scientificName,authorshipCheck,is_dup_global,is_dup_kingdom,is_dup_kingdom_author,is_dup_kingdom_author_rank,reason,number_of_occurrence,TT_URL
83aad3ea-02c0-4055-b8a8-601606d6173b,species,Plantae,Cololejeunea haskarliana,<i>Cololejeunea</i> <i>haskarliana</i> (Lehm.) Schiffn.,(Lehm.) Schiffn.,TRUE,TRUE,FALSE,FALSE,學名重複,6,https://taxatree.tbn.org.tw/taxa/83aad3ea-02c0-4055-b8a8-601606d6173b
2df7cbfe-3b6c-44fb-8b61-5d8b96fdfdfd,genus,Plantae,Tydemania,<i>Tydemania</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,1,https://taxatree.tbn.org.tw/taxa/2df7cbfe-3b6c-44fb-8b61-5d8b96fdfdfd
b7bfe221-18d8-42c6-a779-31bb710ab0f7,genus,Plantae,Chondria,<i>Chondria</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,25,https://taxatree.tbn.org.tw/taxa/b7bfe221-18d8-42c6-a779-31bb710ab0f7
1b490559-113c-45d9-ac33-5492d0bdf9d1,genus,Plantae,Ganonema,<i>Ganonema</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,25,https://taxatree.tbn.org.tw/taxa/1b490559-113c-45d9-ac33-5492d0bdf9d1
a47ce978-5b75-4790-8101-d2f809d87e15,genus,Animalia,Cerataulina,<i>Cerataulina</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,0,https://taxatree.tbn.org.tw/taxa/a47ce978-5b75-4790-8101-d2f809d87e15
9f92662d-1859-49e7-a0be-9272a8ab6e80,superphylum,Podiata,Fungi,Fungi,"",TRUE,FALSE,FALSE,FALSE,學名重複,7,https://taxatree.tbn.org.tw/taxa/9f92662d-1859-49e7-a0be-9272a8ab6e80
5b48ad7a-b5e4-48c1-90cd-32e31090c314,species,Plantae,Goodyera hachijoensis,<i>Goodyera</i> <i>hachijoensis</i> Yatabe,Yatabe,TRUE,TRUE,TRUE,TRUE,學名重複,15,https://taxatree.tbn.org.tw/taxa/5b48ad7a-b5e4-48c1-90cd-32e31090c314
81a49d92-4b03-4ed6-a57f-621a66f3a519,species,Plantae,Begonia ×albopicta,<i>Begonia</i> <i>×albopicta</i> Regel ex Regel,Regel ex Regel,TRUE,TRUE,FALSE,FALSE,學名重複,0,https://taxatree.tbn.org.tw/taxa/81a49d92-4b03-4ed6-a57f-621a66f3a519
8b0940fe-40aa-4acc-b97f-30b14769046a,genus,Plantae,Sarcophyton,<i>Sarcophyton</i>,Juss.,TRUE,FALSE,FALSE,FALSE,學名重複,5,https://taxatree.tbn.org.tw/taxa/8b0940fe-40aa-4acc-b97f-30b14769046a
c836597e-913b-4239-9a6b-9e735e09c0ea,genus,Animalia,Rhopographus,<i>Rhopographus</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,2,https://taxatree.tbn.org.tw/taxa/c836597e-913b-4239-9a6b-9e735e09c0ea
8ab253d4-d6bc-4b4b-9ee0-21fce9f55984,genus,Fungi,Scaphidium,<i>Scaphidium</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,0,https://taxatree.tbn.org.tw/taxa/8ab253d4-d6bc-4b4b-9ee0-21fce9f55984
035202e4-ed3f-44e5-84dc-f86ed9044141,genus,Fungi,Rhytisma,<i>Rhytisma</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,7,https://taxatree.tbn.org.tw/taxa/035202e4-ed3f-44e5-84dc-f86ed9044141
7379740e-9d33-4b05-8c2f-a0c0e8120680,genus,Plantae,Aquarius,<i>Aquarius</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,17,https://taxatree.tbn.org.tw/taxa/7379740e-9d33-4b05-8c2f-a0c0e8120680
9bd0f7a0-166b-4c04-91d4-44bc997ae3e8,phylum,Podiata,Basidiomycota,Basidiomycota,"",TRUE,FALSE,FALSE,FALSE,學名重複,0,https://taxatree.tbn.org.tw/taxa/9bd0f7a0-166b-4c04-91d4-44bc997ae3e8
254dde54-da79-4530-b968-6e003eb136cc,phylum,Podiata,Ascomycota,Ascomycota,"",TRUE,FALSE,FALSE,FALSE,學名重複,0,https://taxatree.tbn.org.tw/taxa/254dde54-da79-4530-b968-6e003eb136cc
070cfbe2-789a-4c1b-b8ae-c1008ee97513,genus,Plantae,Satyrium,<i>Satyrium</i>,Sw.,TRUE,FALSE,FALSE,FALSE,學名重複,0,https://taxatree.tbn.org.tw/taxa/070cfbe2-789a-4c1b-b8ae-c1008ee97513
ad724aea-a658-4c9c-b0ec-13944569e615,genus,Plantae,Acrocephalus,<i>Acrocephalus</i>,Benth.,TRUE,FALSE,FALSE,FALSE,學名重複,1,https://taxatree.tbn.org.tw/taxa/ad724aea-a658-4c9c-b0ec-13944569e615
a4f86047-62d7-4ab2-af20-79d1cfb4dba0,species,Plantae,Tectaria multicaudata,<i>Tectaria</i> <i>multicaudata</i> (C.B.Clarke) Ching,(C.B.Clarke) Ching,TRUE,TRUE,FALSE,FALSE,學名重複,63,https://taxatree.tbn.org.tw/taxa/a4f86047-62d7-4ab2-af20-79d1cfb4dba0
6f795206-cd88-4cd3-bb85-fc9b780cdf37,species,Plantae,Cololejeunea haskarliana,<i>Cololejeunea</i> <i>haskarliana</i> (Lehm.) Steph.,(Lehm.) Steph.,TRUE,TRUE,FALSE,FALSE,學名重複,6,https://taxatree.tbn.org.tw/taxa/6f795206-cd88-4cd3-bb85-fc9b780cdf37
f28abec8-e3e7-4da9-8ee5-b869a445d597,genus,Animalia,Manulea,<i>Manulea</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,893,https://taxatree.tbn.org.tw/taxa/f28abec8-e3e7-4da9-8ee5-b869a445d597
2892f3ca-35f9-4b07-b812-87241d263efb,genus,Plantae,Anisophyllum,<i>Anisophyllum</i>,"",TRUE,TRUE,FALSE,FALSE,學名重複,2,https://taxatree.tbn.org.tw/taxa/2892f3ca-35f9-4b07-b812-87241d263efb
aeadab76-407e-478b-906d-a012472b1f0f,genus,Plantae,Anisophyllum,<i>Anisophyllum</i>,G.Don ex Benth.,TRUE,TRUE,FALSE,FALSE,學名重複,2,https://taxatree.tbn.org.tw/taxa/aeadab76-407e-478b-906d-a012472b1f0f
79f0dfa9-4c0d-4556-ace4-f7c7e38a8fb3,order,Animalia,Plecoptera,Plecoptera,"",TRUE,TRUE,TRUE,FALSE,相同Kingdom學名重複,784,https://taxatree.tbn.org.tw/taxa/79f0dfa9-4c0d-4556-ace4-f7c7e38a8fb3
6b7e851e-9a41-407a-861c-233a3b658c82,genus,Animalia,Plecoptera,<i>Plecoptera</i>,"",TRUE,TRUE,TRUE,FALSE,相同Kingdom學名重複,420,https://taxatree.tbn.org.tw/taxa/6b7e851e-9a41-407a-861c-233a3b658c82
5f38f3ad-eef3-40db-9593-09b5d352ae41,genus,Plantae,Erigeron,<i>Erigeron</i>,L.,TRUE,TRUE,TRUE,TRUE,相同Kingdom學名重複,8344,https://taxatree.tbn.org.tw/taxa/5f38f3ad-eef3-40db-9593-09b5d352ae41
9dc0a16d-31c7-4caf-ad8e-75fca448494a,genus,Plantae,Erigeron,<i>Erigeron</i>,L.,TRUE,TRUE,TRUE,TRUE,相同Kingdom學名重複,1665,https://taxatree.tbn.org.tw/taxa/9dc0a16d-31c7-4caf-ad8e-75fca448494a
37f0c327-4e6e-4dea-ba9f-61e3ea1da59e,species,Animalia,Ovophis makazayazaya,<i>Ovophis makazayazaya</i>,"(Takahashi, 1922)",TRUE,TRUE,TRUE,TRUE,相同Kingdom學名重複,18,https://taxatree.tbn.org.tw/taxa/37f0c327-4e6e-4dea-ba9f-61e3ea1da59e
6dbbc84d-3a32-46c5-9d72-b1d7663a76d2,species,Animalia,Ovophis makazayazaya,<i>Ovophis makazayazaya</i>,"(Takahashi, 1922)",TRUE,TRUE,TRUE,TRUE,相同Kingdom學名重複,170,https://taxatree.tbn.org.tw/taxa/6dbbc84d-3a32-46c5-9d72-b1d7663a76d2
e4ea5b20-a54d-4306-a708-d96fc432a99b,species,Plantae,Selaginella circinalis,<i>Selaginella</i> <i>circinalis</i> (L.) C.Presl,(L.) C.Presl,TRUE,TRUE,FALSE,FALSE,相同Kingdom學名重複,0,https://taxatree.tbn.org.tw/taxa/e4ea5b20-a54d-4306-a708-d96fc432a99b
ce8c5fa8-0847-4b8d-a927-69a1bb65c276,species,Plantae,Selaginella circinalis,<i>Selaginella</i> <i>circinalis</i> (L.) Spring,(L.) Spring,TRUE,TRUE,FALSE,FALSE,相同Kingdom學名重複,0,https://taxatree.tbn.org.tw/taxa/ce8c5fa8-0847-4b8d-a927-69a1bb65c276
6b155a86-7faf-4f5f-a36c-2482215d0c03,species,Plantae,Tectaria multicaudata,<i>Tectaria</i> <i>multicaudata</i> Ching,Ching,TRUE,TRUE,FALSE,FALSE,相同Kingdom學名重複,87,https://taxatree.tbn.org.tw/taxa/6b155a86-7faf-4f5f-a36c-2482215d0c03
78f3e5e2-89c2-403f-9565-209912eabc19,species,Plantae,Goodyera hachijoensis,<i>Goodyera</i> <i>hachijoensis</i> Yatabe,Yatabe,TRUE,TRUE,TRUE,TRUE,相同Kingdom學名重複,70,https://taxatree.tbn.org.tw/taxa/78f3e5e2-89c2-403f-9565-209912eabc19
6923c747-dc10-4fc3-ac51-a7d8bb442db3,species,Plantae,Lysimachia remota,<i>Lysimachia</i> <i>remota</i> Petitm.,Petitm.,TRUE,TRUE,TRUE,FALSE,相同Kingdom學名重複,207,https://taxatree.tbn.org.tw/taxa/6923c747-dc10-4fc3-ac51-a7d8bb442db3
35b6cb36-b0eb-4f2b-b488-1e96ec0dd975,infraspecies,Plantae,Lysimachia remota,<i>Lysimachia</i> var. <i>remota</i>,Petitm.,TRUE,TRUE,TRUE,FALSE,相同Kingdom學名重複,40,https://taxatree.tbn.org.tw/taxa/35b6cb36-b0eb-4f2b-b488-1e96ec0dd975
5623551a-59fa-4b45-a01e-fa53657b7716,infraspecies,Plantae,Zeuxine strateumatica rupicola,<i>Zeuxine strateumatica</i> var. <i>rupicola</i> (Fukuy.) S.S.Ying,(L.) Schltr.-(Fukuy.) S.S.Ying,TRUE,TRUE,FALSE,FALSE,相同Kingdom學名重複,0,https://taxatree.tbn.org.tw/taxa/5623551a-59fa-4b45-a01e-fa53657b7716
