taxonUUID,taxonRank,parentUUID,simplifiedScientificName,kingdom,class,number_of_occurrence,TT_URL
ef99b28b-56ca-47f2-a6f7-19051609d4d9,family,026abcfc-acef-48a0-86bf-e69feb2d2834,Aphanopetalaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/ef99b28b-56ca-47f2-a6f7-19051609d4d9
c8015d19-f8a0-47ef-a118-6070ac1362e3,family,026abcfc-acef-48a0-86bf-e69feb2d2834,Tetracarpaeaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/c8015d19-f8a0-47ef-a118-6070ac1362e3
0abfb7ba-cd55-45e0-8df3-2b52795a7e0f,family,026abcfc-acef-48a0-86bf-e69feb2d2834,Penthoraceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/0abfb7ba-cd55-45e0-8df3-2b52795a7e0f
0042093a-ea40-406a-aee2-026f56bf984e,family,026abcfc-acef-48a0-86bf-e69feb2d2834,Cynomoriaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/0042093a-ea40-406a-aee2-026f56bf984e
68a8defb-9e29-406b-bc33-3b73455f6bbf,family,bf6b8c0f-fbb1-47ae-8cfb-dd1d6ca6b168,Krameriaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/68a8defb-9e29-406b-bc33-3b73455f6bbf
828275a1-52ee-4b3d-a0a8-08181e6e700b,family,faf2740f-45eb-4208-a892-774d1320b4d2,Quillajaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/828275a1-52ee-4b3d-a0a8-08181e6e700b
ad011a0c-083f-4a03-8d92-a23845dadba2,family,10c236ce-5961-4132-9064-49fb656ad5c8,Barbeyaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/ad011a0c-083f-4a03-8d92-a23845dadba2
7e4bed14-7d6a-4ae8-a1bb-87641e26186d,family,10c236ce-5961-4132-9064-49fb656ad5c8,Dirachmaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/7e4bed14-7d6a-4ae8-a1bb-87641e26186d
3ca86c87-f867-4a1f-89ae-767e06a67f19,family,45f50a0f-125c-4ddd-a16d-b70f6829b865,Nothofagaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/3ca86c87-f867-4a1f-89ae-767e06a67f19
7a087170-e2dd-492c-a58d-cfca23ef0af7,family,45f50a0f-125c-4ddd-a16d-b70f6829b865,Ticodendraceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/7a087170-e2dd-492c-a58d-cfca23ef0af7
