taxonUUID,taxonRank,parentUUID,kingdom,simplifiedScientificName,nativeness,protectedStatusTW,categoryRedlistTW,categoryIUCN,groupID,reason,check_column,filtered_values,number_of_occurrence,TT_URL
89ab56fb-1f45-49bf-a917-a4bd0611257f,infraspecies,c6ed1d00-87d9-43be-a901-7e9eba1a8f76,Plantae,Rosa bracteata scabricaulis,原生 Native,"","資料缺乏（DD, Data Deficient）","",c6ed1d00-87d9-43be-a901-7e9eba1a8f76,國內紅皮書不同,categoryRedlistTW,"易危（VU, Vulnerable）;資料缺乏（DD, Data Deficient）",12,https://taxatree.tbn.org.tw/taxa/89ab56fb-1f45-49bf-a917-a4bd0611257f
d1af5957-2b82-4cb6-ab94-1214902b0deb,species,1d757419-e21b-41eb-b65a-b80c8a8e8920,Plantae,Podocarpus macrophyllus,原生 Native,"","","",d1af5957-2b82-4cb6-ab94-1214902b0deb,國內紅皮書不同,categoryRedlistTW,"瀕危（EN, Endangered）;易危（VU, Vulnerable）",468,https://taxatree.tbn.org.tw/taxa/d1af5957-2b82-4cb6-ab94-1214902b0deb
4bda02c5-12c2-446f-a66a-ef8f26f75c6c,infraspecies,d1af5957-2b82-4cb6-ab94-1214902b0deb,Plantae,Podocarpus macrophyllus macrophyllus,原生 Native,"","瀕危（EN, Endangered）","",d1af5957-2b82-4cb6-ab94-1214902b0deb,國內紅皮書不同,categoryRedlistTW,"瀕危（EN, Endangered）;易危（VU, Vulnerable）",18,https://taxatree.tbn.org.tw/taxa/4bda02c5-12c2-446f-a66a-ef8f26f75c6c
fc0f4bd5-d995-49c9-959c-a30956867338,infraspecies,d1af5957-2b82-4cb6-ab94-1214902b0deb,Plantae,Podocarpus macrophyllus maki,原生 Native,"","易危（VU, Vulnerable）","接近受脅（NT, Near Threatened）",d1af5957-2b82-4cb6-ab94-1214902b0deb,國內紅皮書不同,categoryRedlistTW,"瀕危（EN, Endangered）;易危（VU, Vulnerable）",139,https://taxatree.tbn.org.tw/taxa/fc0f4bd5-d995-49c9-959c-a30956867338
e2c47e98-6c32-4f1c-a20a-5a2acf331342,species,3fd05fe6-0568-4c64-99a5-2c7e3b54f8f2,Plantae,Vitis thunbergii,原生 Native,"","","",e2c47e98-6c32-4f1c-a20a-5a2acf331342,國內紅皮書不同,categoryRedlistTW,"接近受脅（NT, Near Threatened）;瀕危（EN, Endangered）",245,https://taxatree.tbn.org.tw/taxa/e2c47e98-6c32-4f1c-a20a-5a2acf331342
91e468ef-191e-43eb-8f7b-16842a5fd2db,infraspecies,e2c47e98-6c32-4f1c-a20a-5a2acf331342,Plantae,Vitis thunbergii thunbergii,原生 Native,"","接近受脅（NT, Near Threatened）","",e2c47e98-6c32-4f1c-a20a-5a2acf331342,國內紅皮書不同,categoryRedlistTW,"接近受脅（NT, Near Threatened）;瀕危（EN, Endangered）",45,https://taxatree.tbn.org.tw/taxa/91e468ef-191e-43eb-8f7b-16842a5fd2db
81dbacac-0849-4a41-83ae-d2f8eb6baee4,infraspecies,e2c47e98-6c32-4f1c-a20a-5a2acf331342,Plantae,Vitis thunbergii taiwaniana,原生 Native,"","瀕危（EN, Endangered）","",e2c47e98-6c32-4f1c-a20a-5a2acf331342,國內紅皮書不同,categoryRedlistTW,"接近受脅（NT, Near Threatened）;瀕危（EN, Endangered）",48,https://taxatree.tbn.org.tw/taxa/81dbacac-0849-4a41-83ae-d2f8eb6baee4
ec6c68d7-2f4c-4c37-a43a-2f4a41374503,species,2cf3a83e-1902-4fe9-bfba-a8d8f9534f5d,Plantae,Callitriche palustris,原生 Native,"","","",ec6c68d7-2f4c-4c37-a43a-2f4a41374503,國內紅皮書不同,categoryRedlistTW,"接近受脅（NT, Near Threatened）;資料缺乏（DD, Data Deficient）",96,https://taxatree.tbn.org.tw/taxa/ec6c68d7-2f4c-4c37-a43a-2f4a41374503
9a468d01-7bf0-4033-8eb5-40fd8d5e38c3,infraspecies,ec6c68d7-2f4c-4c37-a43a-2f4a41374503,Plantae,Callitriche palustris palustris,原生 Native,"","接近受脅（NT, Near Threatened）","",ec6c68d7-2f4c-4c37-a43a-2f4a41374503,國內紅皮書不同,categoryRedlistTW,"接近受脅（NT, Near Threatened）;資料缺乏（DD, Data Deficient）",58,https://taxatree.tbn.org.tw/taxa/9a468d01-7bf0-4033-8eb5-40fd8d5e38c3
c195b01e-581a-4f10-9105-649ed5b92bf2,infraspecies,ec6c68d7-2f4c-4c37-a43a-2f4a41374503,Plantae,Callitriche palustris oryzetorum,原生 Native,"","資料缺乏（DD, Data Deficient）","",ec6c68d7-2f4c-4c37-a43a-2f4a41374503,國內紅皮書不同,categoryRedlistTW,"接近受脅（NT, Near Threatened）;資料缺乏（DD, Data Deficient）",7,https://taxatree.tbn.org.tw/taxa/c195b01e-581a-4f10-9105-649ed5b92bf2
ffcc50a3-205c-4d49-99d5-13ae67cf93c8,species,f3ba4db2-671b-4f72-9488-aea54b955d8e,Plantae,Rhododendron ovatum,原生 Native,"","接近受脅（NT, Near Threatened）","",ffcc50a3-205c-4d49-99d5-13ae67cf93c8,國內紅皮書不同,categoryRedlistTW,"接近受脅（NT, Near Threatened）;資料缺乏（DD, Data Deficient）",258,https://taxatree.tbn.org.tw/taxa/ffcc50a3-205c-4d49-99d5-13ae67cf93c8
b9dd476c-7f86-40c4-9ea0-f1f69e50943c,infraspecies,ffcc50a3-205c-4d49-99d5-13ae67cf93c8,Plantae,Rhododendron ovatum ovatum,原生 Native,"","資料缺乏（DD, Data Deficient）","",ffcc50a3-205c-4d49-99d5-13ae67cf93c8,國內紅皮書不同,categoryRedlistTW,"接近受脅（NT, Near Threatened）;資料缺乏（DD, Data Deficient）",43,https://taxatree.tbn.org.tw/taxa/b9dd476c-7f86-40c4-9ea0-f1f69e50943c
