taxonUUID,taxonRank,simplifiedScientificName,endemism,nativeness,protectedStatusTW,categoryRedlistTW,categoryIUCN,sensitiveCategory,reason,TT_URL
1ac57a7c-9a71-4431-9e1b-de08dc394cc4,species,Lasiobolus microsporus,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/1ac57a7c-9a71-4431-9e1b-de08dc394cc4
de1843a2-7b65-46f5-a53d-8c829408bc23,species,Lasiobolus intermedius,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/de1843a2-7b65-46f5-a53d-8c829408bc23
8a468e60-7c53-4f18-af66-631449ea6f5f,species,Apiospora montagnei,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/8a468e60-7c53-4f18-af66-631449ea6f5f
18e38c8f-c05b-4066-aba9-71769a348724,species,Pyricularia grisea,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/18e38c8f-c05b-4066-aba9-71769a348724
3e2c30e8-4f4c-47b9-8f58-bf7f9dde78b6,species,Pyricularia zingiberis,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/3e2c30e8-4f4c-47b9-8f58-bf7f9dde78b6
607750a4-a82c-4d35-b186-0830b54e130f,species,Thyridium vestitum,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/607750a4-a82c-4d35-b186-0830b54e130f
b8d9d8b0-d416-457e-8d68-57af27ade869,species,Vialaea minutella,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/b8d9d8b0-d416-457e-8d68-57af27ade869
ed4caa52-a163-4ba5-87f1-954423365c7b,species,Debaryozyma hansenii,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/ed4caa52-a163-4ba5-87f1-954423365c7b
c481ecfd-69a3-4383-880b-594de346a790,species,Candida rugosa,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/c481ecfd-69a3-4383-880b-594de346a790
4a5acb5a-0e07-45ff-839a-ae42a032356f,species,Candida tropicalis,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/4a5acb5a-0e07-45ff-839a-ae42a032356f
