TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_rank,TC_kingdom,TC_taxon_status,TC_is_in_taiwan
0e5b5f48-92b3-4ece-af73-234924000cee,order,Animalia,t0001867,Galliformes,order,Animalia,accepted,TRUE
c2b28618-84f1-4dc2-9ce9-c94129caa9f2,order,Animalia,t0002102,Procellariiformes,order,Animalia,accepted,TRUE
97a3d662-a2e2-4e11-a875-0591b3382e43,order,Animalia,t0002048,Pelecaniformes,order,Animalia,accepted,TRUE
b19183ae-cbc4-420f-b4aa-d2277cb3ec06,order,Animalia,t0001772,Ciconiiformes,order,Animalia,accepted,TRUE
24ee99b3-54fc-48c2-94e4-ecfb1f6234e2,order,Animalia,t0001796,Cuculiformes,order,Animalia,accepted,TRUE
e6f5ec7c-dea6-46a9-b1de-fa765d93f331,order,Animalia,t0001784,Columbiformes,order,Animalia,accepted,TRUE
49ff1288-0918-48ca-b22a-11619ae217d8,order,Animalia,t0001858,Falconiformes,order,Animalia,accepted,TRUE
8bcdb9fe-6cf2-4eb0-b6b5-51c126e9307f,order,Animalia,t0001869,Gaviiformes,order,Animalia,accepted,TRUE
743e6259-35f2-46f1-9022-232664883af4,order,Animalia,t0001787,Coraciiformes,order,Animalia,accepted,TRUE
4c410c85-ea5c-44c0-8c71-4589271ef865,order,Animalia,t0001694,Apodiformes,order,Animalia,accepted,TRUE
cfc85f4b-f58f-4af2-9db1-8a58c77913ef,order,Animalia,t0002186,Strigiformes,order,Animalia,accepted,TRUE
bdc1d411-a22c-463b-bbf2-6755161f1e9a,order,Animalia,t0002190,Suliformes,order,Animalia,accepted,TRUE
323b03a7-e67c-4906-a110-a4cb0b32f833,order,Animalia,t0002067,Piciformes,order,Animalia,accepted,TRUE
bc25f914-76aa-44c1-957a-9644227e0bda,order,Animalia,t0002057,Phaethontiformes,order,Animalia,accepted,TRUE
eb778e01-7006-4573-ae22-908706278491,order,Animalia,t0002082,Podicipediformes,order,Animalia,accepted,TRUE
ccdd5f69-0941-4d4e-b53c-00ae4ceccb63,order,Animalia,t0002187,Struthioniformes,order,Animalia,accepted,TRUE
59cc0ff5-b6bd-4832-a730-4780620137a8,order,Animalia,t0001737,Caprimulgiformes,order,Animalia,accepted,TRUE
837531c8-1390-4f37-9ee0-5f1c728d5630,order,Animalia,t0001731,Bucerotiformes,order,Animalia,accepted,TRUE
320e7ac3-7cdf-4c44-8ef6-e4a47434b897,order,Animalia,t0002060,Phoenicopteriformes,order,Animalia,accepted,FALSE
40c2602a-1e39-472e-9310-123e599dc26f,order,Animalia,t0003088,Squamata,order,Animalia,accepted,TRUE
df13ec82-39fb-4eea-94c8-e3433ac34338,order,Animalia,t0001792,Crocodylia,order,Animalia,accepted,TRUE
673dd2f5-80a0-4403-b81a-903d75b4de23,order,Animalia,t0002201,Testudines,order,Animalia,accepted,TRUE
fc330d59-91f8-49db-8731-6c8c252e5037,order,Animalia,t0001998,Myliobatiformes,order,Animalia,accepted,TRUE
97e058ca-a542-4ea7-9cb5-ac5d4a430f9e,order,Animalia,t0001929,Lamniformes,order,Animalia,accepted,TRUE
752af8a3-6c65-406a-b99c-657b8ba14978,order,Animalia,t0002100,Pristiophoriformes,order,Animalia,accepted,TRUE
aefc2346-afc0-4a85-8394-3dc29bc848f0,order,Animalia,t0001740,Carcharhiniformes,order,Animalia,accepted,TRUE
eb565046-8437-4fa2-995f-0679607c6449,order,Animalia,t0002113,Rajiformes,order,Animalia,accepted,TRUE
18d8f214-2e30-4851-a434-9782b781e6e6,order,Animalia,t0002213,Torpediniformes,order,Animalia,accepted,TRUE
6991bff0-5c77-4044-9f81-c2625e9e97cb,order,Animalia,t0002176,Squaliformes,order,Animalia,accepted,TRUE
0689604c-7b76-4dd3-9b56-dd9f240dcad0,order,Animalia,t0002032,Orectolobiformes,order,Animalia,accepted,TRUE
e0f857d1-c130-4a69-9bbb-e1dc98921be1,order,Animalia,t0001764,Chimaeriformes,order,Animalia,accepted,TRUE
25e44de8-0ae1-4fca-837c-55a0ac09531d,order,Animalia,t0001904,Hexanchiformes,order,Animalia,accepted,TRUE
0ff4ffe7-74df-4b74-86cb-f778d75adcef,order,Animalia,t0003052,Echinorhiniformes,order,Animalia,accepted,TRUE
a0f5f4f6-2aa0-409f-854a-e63ff3f014dd,order,Animalia,t0001900,Heterodontiformes,order,Animalia,accepted,TRUE
0c5c9090-1af7-4d17-a2c8-2fab1b7874f0,order,Animalia,t0002177,Squatiniformes,order,Animalia,accepted,TRUE
e8a80449-b354-48b5-96e0-573211e17264,order,Animalia,t0002161,Soricomorpha,order,Animalia,accepted,FALSE
bd544e95-9337-471c-b141-a84e5e6b7157,order,Animalia,t0002124,Rodentia,order,Animalia,accepted,TRUE
48ff9dea-0819-488b-bae4-16dc2d44ea7e,order,Animalia,t0001766,Chiroptera,order,Animalia,accepted,TRUE
252a6ffa-fe2f-4856-ac86-b3866824374d,order,Animalia,t0001757,Cetacea,order,Animalia,accepted,TRUE
71b611bc-60ee-4158-b765-ab7369b49185,order,Animalia,t0001705,Artiodactyla,order,Animalia,accepted,TRUE
