TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,taxon_id,taxon_status,simple_name,rank,kingdom
d3227d37-d07e-4728-bb03-239a30369cfe,infraspecies,Plantae,"",Acer palmatum pubescens,t0086589,accepted,Acer palmatum var. pubescens,Variety,Plantae
79c72cd6-0ecb-462c-93b0-5411ecd72162,infraspecies,Plantae,"",Arabidopsis halleri gemmifera,t0052608,accepted,Arabidopsis halleri var. gemmifera,Variety,Plantae
3725a54e-ad88-4a3c-9dc3-e42d50ead006,infraspecies,Plantae,"",Achyranthes aspera rubrofusca,t0052533,accepted,Achyranthes aspera var. rubro-fusca,Variety,Plantae
3725a54e-ad88-4a3c-9dc3-e42d50ead006,infraspecies,Plantae,"",Achyranthes aspera rubrofusca,t0086591,deleted,Achyranthes aspera var. rubro-fusca,Variety,Plantae
3725a54e-ad88-4a3c-9dc3-e42d50ead006,infraspecies,Plantae,"",Achyranthes aspera rubrofusca,t0103405,deleted,Achyranthes aspera var. rubrofusca,Variety,Plantae
6466c984-66fb-4502-9ed9-bbc73b448215,infraspecies,Plantae,"",Embelia laeta papilligera,t0057317,accepted,Embelia laeta var. papilligera,Variety,Plantae
db846ca0-56a9-4d96-9a9f-381dfe722420,infraspecies,Plantae,"",Shortia rotundifolia rotundifolia,t0058253,accepted,Shortia rotundifolia var. rotundifolia,Variety,Plantae
9488238e-7a6e-427a-8243-46f6f2c6f33f,infraspecies,Plantae,"",Damnacanthus angustifolius stenophyllus,t0053293,accepted,Damnacanthus angustifolius,Species,Plantae
1324482a-aa6a-4189-98d0-d4560924608d,infraspecies,Plantae,"",Tripterospermum taiwanense alutaceofolium,t0055675,accepted,Tripterospermum taiwanense,Species,Plantae
1324482a-aa6a-4189-98d0-d4560924608d,infraspecies,Plantae,"",Tripterospermum taiwanense alutaceofolium,t0069693,accepted,Tripterospermum alutaceifolium,Species,Plantae
132fc435-a6ed-487a-b301-ebae1ec52c94,infraspecies,Plantae,"",Heliotropium procumbens depressum,t0074255,accepted,Euploca procumbens,Species,Plantae
132fc435-a6ed-487a-b301-ebae1ec52c94,infraspecies,Plantae,"",Heliotropium procumbens depressum,t0086846,deleted,Heliotropium procumbens var. depressum,Variety,Plantae
90227064-1a8a-4d76-88a5-86c144d689d8,infraspecies,Plantae,"",Mentha arvensis piperascens,t0084606,accepted,Mentha arvensis var. piperascens,Variety,Plantae
5d70d366-e75b-43d6-8bdd-7f9d9fd603b2,infraspecies,Plantae,"",Prunella vulgaris asiatica,t0084620,accepted,Prunella vulgaris subsp. asiatica,Subspecies,Plantae
5d70d366-e75b-43d6-8bdd-7f9d9fd603b2,infraspecies,Plantae,"",Prunella vulgaris asiatica,t0106669,deleted,Prunella vulgaris var. asiatica,Variety,Plantae
a0f7501d-f64e-47bb-88f9-cd7d69e4dc2d,infraspecies,Plantae,"",Ilex sugerokii brevipedunculata,t0058070,accepted,Ilex sugerokii var. brevipedunculata,Variety,Plantae
d2fa392d-dcb5-4eaf-971b-0e0e2ae0812c,infraspecies,Plantae,"",Solidago virgaurea leiocarpa,t0055397,accepted,Solidago decurrens,Species,Plantae
