TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,taicol_taxon_id,taicol_status
bf8a1d9a-7fb6-4e45-9b8c-0857090b9a90,order,Fungi,"",Leotiales,"list(taxon_id = ""t0001438""","taicol_name_status = ""accepted"""
31da2419-1d4a-4386-a349-569c95aaf72d,order,Protozoa,"",Actinophryida,"list(taxon_id = ""t0001064""","taicol_name_status = ""accepted"""
e9e98e8a-19e2-4ce2-ae02-6789bcb36b4b,genus,Fungi,"",Archnosphaera,"list(taxon_id = ""t0006520""","taicol_name_status = ""accepted"""
f0f5489b-ab64-4c49-8229-a6c93fccad13,order,Protozoa,"",Piroplasmida,"list(taxon_id = ""t0001259""","taicol_name_status = ""accepted"""
e5272a10-a0f7-4b63-be0e-b9e23b27a1c1,order,Protozoa,"",Hypotrichida,"list(taxon_id = ""t0003009""","taicol_name_status = ""accepted"""
ac741e18-1183-4af1-b419-3fbcb402b7ef,order,Protozoa,"",Heterotrichida,"list(taxon_id = ""t0001176""","taicol_name_status = ""accepted"""
57deee33-fd2c-4041-a0eb-8c0e0a09f707,order,Protozoa,"",Oligotrichida,"list(taxon_id = ""t0003013""","taicol_name_status = ""accepted"""
ff609f7c-f9b9-45a4-a54a-445b10bf5992,order,Protozoa,"",Peritrichida,"list(taxon_id = ""t0003014""","taicol_name_status = ""accepted"""
fec8ab25-aed9-44c1-aba6-182d4ac062a5,order,Protozoa,"",Hymenostomatida,"list(taxon_id = ""t0003008""","taicol_name_status = ""accepted"""
2ca81f61-f743-478b-a599-3a794ebc4d4a,order,Protozoa,"",Choreotrichida,"list(taxon_id = ""t0003000""","taicol_name_status = ""accepted"""
5dc27667-a7b3-4b29-8138-0ab66926fb86,order,Protozoa,"",Odontostomatida,"list(taxon_id = ""t0001224""","taicol_name_status = ""accepted"""
118a9cbc-49d5-4306-b475-668ac857a185,order,Protozoa,"",Spelaeophryida,"list(taxon_id = ""t0003021""","taicol_name_status = ""accepted"""
024b081e-a27c-450e-8818-bab2fe14991b,order,Protozoa,"",Peridiniales,"list(taxon_id = ""t0001244""","taicol_name_status = ""accepted"""
9334fd64-c88c-493b-92a0-aed1f023c099,order,Protozoa,"",Dinoflagellida,"list(taxon_id = ""t0003002""","taicol_name_status = ""accepted"""
f81dde2c-924d-47a3-bef3-66b413f6a39a,order,Protozoa,"",Dinophysiales,"list(taxon_id = ""t0003003""","taicol_name_status = ""accepted"""
6877b4d4-cc8f-424b-be3b-caabe8391ea3,order,Protozoa,"",Pyrocystales,"list(taxon_id = ""t0001281""","taicol_name_status = ""accepted"""
5aa69974-f5fe-404d-8251-b936a891ebf9,order,Protozoa,"",Gymnodiniales,"list(taxon_id = ""t0001168""","taicol_name_status = ""accepted"""
4dc07426-6cac-4baf-85e5-f55810a23acc,order,Protozoa,"",Noctilucales,"list(taxon_id = ""t0003012""","taicol_name_status = ""accepted"""
8cbb412b-4ad1-41a7-acab-5b93c4697521,order,Protozoa,"",Prorocentrales,"list(taxon_id = ""t0001267""","taicol_name_status = ""accepted"""
2b7f6c0f-79b6-452c-abf9-d1dd79cbcfcd,order,Protozoa,"",Thoracosphaerales,"list(taxon_id = ""t0001342""","taicol_name_status = ""accepted"""
49008049-b809-4c2b-a113-47c6fd2a40e0,order,Protozoa,"",Eugregarinida,"list(taxon_id = ""t0003006""","taicol_name_status = ""accepted"""
9e2cb5b5-0599-4523-8e21-9cbb58a11b69,order,Protozoa,"",Multivalvulida,"list(taxon_id = ""t0001992""","taicol_name_status = ""accepted"""
e3a99869-a45a-45c5-9973-4ed0fb9ec9fa,order,Protozoa,"",Bivalvulida,"list(taxon_id = ""t0001723""","taicol_name_status = ""accepted"""
b0d94a20-5474-49bd-8d8e-4b2aca91830f,family,Chromista,"",Chaetosphaeriaceae,"list(taxon_id = ""t0003365""","taicol_name_status = ""accepted"""
4591e472-9f58-42c4-ba74-609157e53218,family,Fungi,"",Ganodermataceae,"list(taxon_id = ""t0003454""","taicol_name_status = ""not-accepted"""
8ba45833-41dd-44fc-b100-6de1b5673553,genus,Fungi,"",Fuscoboletinus,[],
120c9e41-dfbf-4d38-85c0-7dd92b0cc2e4,genus,Fungi,"",Physopella,"list(taxon_id = ""t0008245""","taicol_name_status = ""not-accepted"""
86ce8fbc-b2bd-4e2f-98b0-53b33e894ef4,family,Fungi,"",Thamnidiaceae,[],
5247ceb2-02d3-46f9-9ec2-5971fe860935,family,Fungi,"",Chaetocladiaceae,[],
f54d7cf7-51b5-45ca-8416-22d3f3cc1435,family,Fungi,"",Eccriniidae,"list(taxon_id = ""t0003208""","taicol_name_status = ""accepted"""
d32492fc-772e-4911-b097-b0c2e4d34224,family,Fungi,"",Stomiopeltella,"list(taxon_id = ""t0008573""","taicol_name_status = ""accepted"""
c947ac41-6b82-453f-a135-265130e9c068,genus,Chromista,"",Chloridium,"list(taxon_id = ""t0007265""","taicol_name_status = ""accepted"""
5881035b-1c47-4fa0-a542-650d0c7a4863,genus,Chromista,"",Craspedodidymum,"list(taxon_id = ""t0007362""","taicol_name_status = ""accepted"""
e867e7b7-42a7-47ec-b945-80ffd34947ce,family,Fungi,"",Diplodia,"list(taxon_id = ""t0007476""","taicol_name_status = ""accepted"""
d5f0a164-95df-40a8-9585-e59c1775fd74,genus,Chromista,"",Dischloridium,"list(taxon_id = ""t0007482""","taicol_name_status = ""accepted"""
57f1587b-219b-4e14-bfe6-49d45d0f25a2,genus,Chromista,"",Hemicorynespora,"list(taxon_id = ""t0007704""","taicol_name_status = ""accepted"""
b6ebab58-240b-4fd8-b930-22d53fb33075,family,Fungi,"",Heterosporium,[],
8ff5f38b-691d-44cd-b5fa-81d92c210595,genus,Chromista,"",Menisporopsis,"list(taxon_id = ""t0007954""","taicol_name_status = ""accepted"""
d6c47d39-e43b-40b3-9323-8180e628a92a,genus,Chromista,"",Monilochaetes,"list(taxon_id = ""t0007987""","taicol_name_status = ""accepted"""
21267bf6-d38d-428f-acc2-7a9cc6bdfe32,genus,Chromista,"",Morrisiella,"list(taxon_id = ""t0008003""","taicol_name_status = ""accepted"""
02e7c6d4-613a-4d32-b0c8-43bcd7176eaf,genus,Chromista,"",Thozetella,"list(taxon_id = ""t0008632""","taicol_name_status = ""accepted"""
8738e148-740e-4202-8328-d8050aec22a3,genus,Fungi,"",Nomuraea,[],
f3122a52-a890-4c8e-87ac-78b1f5fee97c,family,Fungi,"",Ovulariopsis,"list(taxon_id = ""t0008129""","taicol_name_status = ""accepted"""
fbf4b2b7-96a7-4ba3-826c-6f80d08a17f1,genus,Chromista,"",Dinemasporium,"list(taxon_id = ""t0007470""","taicol_name_status = ""accepted"""
0af5e84d-aca6-4de2-94ba-099cde5b2963,genus,Chromista,"",Linocarpon,"list(taxon_id = ""t0007891""","taicol_name_status = ""accepted"""
07d20714-a662-4375-b991-a7bed89b0719,family,Fungi,"",Strigula,"list(taxon_id = ""t0008576""","taicol_name_status = ""accepted"""
13d3357e-521a-48ca-a816-071319b77355,family,Protozoa,"",Actinophyridae,"list(taxon_id = ""t0003159""","taicol_name_status = ""accepted"""
4a5505af-89ab-456a-ad74-7500a0acbc73,family,Protozoa,"",Actinosphaeridae,"list(taxon_id = ""t0003160""","taicol_name_status = ""accepted"""
0cbc7df3-6fd0-4954-ae74-bade530044d3,family,Protozoa,"",Nebelidae,[],
a21bc99f-a03a-4015-bf3e-2fe3dc2556ad,family,Protozoa,"",Raphidiophyidae,"list(taxon_id = ""t0003283""","taicol_name_status = ""accepted"""
e25c35bd-d7ed-4e6e-a8e6-f5ff5c8c5e4d,family,Protozoa,"",Amphileptidae,"list(taxon_id = ""t0003165""","taicol_name_status = ""accepted"""
73bb5d7c-4c03-40df-b450-7b58b462d825,family,Protozoa,"",Aspidiscidae,"list(taxon_id = ""t0003173""","taicol_name_status = ""accepted"""
8c233e5a-1fcc-4239-98df-f5e296d55d14,family,Protozoa,"",Euplotidae,"list(taxon_id = ""t0003218""","taicol_name_status = ""accepted"""
c279c64f-b5cf-4751-8d9f-1f08842313ba,genus,Protozoa,"",Enchelys,"list(taxon_id = ""t0006623""","taicol_name_status = ""accepted"""
bc9b2fbf-f3fd-4b62-9819-b84645a11502,genus,Protozoa,"",Lionotus,"list(taxon_id = ""t0006705""","taicol_name_status = ""accepted"""
fad299ed-f216-4ced-b63b-cc458ba69cb8,family,Protozoa,"",Oxytrichidae,"list(taxon_id = ""t0003258""","taicol_name_status = ""accepted"""
37e01c84-6df2-4219-ae8d-0bc2a2f7e0bc,genus,Protozoa,"",Podopyrya,"list(taxon_id = ""t0006779""","taicol_name_status = ""accepted"""
ce83187d-3bd8-4914-8fe5-57aa42026f5d,genus,Protozoa,"",Stichotricha,"list(taxon_id = ""t0006861""","taicol_name_status = ""accepted"""
6f7779f9-f49b-48b6-8111-d5cf83f4f9a1,genus,Protozoa,"",Uroleptus,"list(taxon_id = ""t0006894""","taicol_name_status = ""accepted"""
c4ae8605-4f96-4a3b-99dc-021ca377eb5f,family,Protozoa,"",Spirostomidae,"list(taxon_id = ""t0003120""","taicol_name_status = ""accepted"""
75e7c463-d92f-432f-94b5-94fc8fe9e8af,genus,Protozoa,"",Fabrea,"list(taxon_id = ""t0006636""","taicol_name_status = ""accepted"""
a37f3284-11d6-49bd-b58b-7ab2ec235e6b,family,Protozoa,"",Metopidae,"list(taxon_id = ""t0003247""","taicol_name_status = ""accepted"""
8b53f562-a242-4cf1-a2f2-d49ae8eb48a1,genus,Protozoa,"",Stentorella,"list(taxon_id = ""t0006856""","taicol_name_status = ""accepted"""
17c5879e-ad1b-488f-aa29-768246170be7,family,Protozoa,"",Bilidiidae,"list(taxon_id = ""t0003178""","taicol_name_status = ""accepted"""
862e9b51-0b75-4ee2-8a9c-ef3fed160d7b,family,Protozoa,"",Codonellopsidae,"list(taxon_id = ""t0003194""","taicol_name_status = ""accepted"""
84908721-2448-4b9d-902e-1eef555e173f,family,Protozoa,"",Cyrtostrombidiidae,"list(taxon_id = ""t0003201""","taicol_name_status = ""accepted"""
81f5f48c-4746-4948-8a45-1be62ccac48f,family,Protozoa,"",Ptychocylididae,"list(taxon_id = ""t0003278""","taicol_name_status = ""accepted"""
d51eb44b-1606-416b-b8c0-01095b74c90c,family,Protozoa,"",Halteriidae,"list(taxon_id = ""t0003233""","taicol_name_status = ""accepted"""
d3876be1-401a-49c5-a6df-72d9df05b795,family,Protozoa,"",Tintinnididae,"list(taxon_id = ""t0003131""","taicol_name_status = ""accepted"""
8d48be22-3dd8-4075-b1bb-ebdcf6f1bbf6,family,Protozoa,"",Tontoniidae,"list(taxon_id = ""t0003132""","taicol_name_status = ""accepted"""
c920e95c-f602-4963-958f-bb3daeb5bb17,family,Protozoa,"",Stentoridae,"list(taxon_id = ""t0003123""","taicol_name_status = ""accepted"""
47ff2ccc-94d2-4d71-bfc1-08b60001e821,family,Protozoa,"",Codoenllidae,"list(taxon_id = ""t0003193""","taicol_name_status = ""accepted"""
2606e90f-3b38-45f5-8b2a-fa9830b0e801,family,Protozoa,"",Vorticellidae,"list(taxon_id = ""t0003142""","taicol_name_status = ""accepted"""
df0371bd-8597-47b8-96a6-7017adec8890,family,Protozoa,"",Tetrahymenidae,"list(taxon_id = ""t0003126""","taicol_name_status = ""accepted"""
4d7f1011-f48d-4973-a056-d3231a5403e0,family,Protozoa,"",Ichthyophthiriidae,"list(taxon_id = ""t0003238""","taicol_name_status = ""accepted"""
05d11a9d-1f0f-41e6-8a44-9afefc65253b,family,Protozoa,"",Frontoniidae,"list(taxon_id = ""t0003219""","taicol_name_status = ""accepted"""
e3892b00-941c-42c3-a2a2-993715706f86,family,Protozoa,"",Glaucomidae,"list(taxon_id = ""t0003224""","taicol_name_status = ""accepted"""
cd48f948-19a2-48ba-9024-195feee25ebd,family,Protozoa,"",Parameciidae,"list(taxon_id = ""t0003259""","taicol_name_status = ""accepted"""
6a5cc266-b408-48f1-ad24-94f82eaa91d7,family,Protozoa,"",Pleuronematidae,"list(taxon_id = ""t0003270""","taicol_name_status = ""accepted"""
2faf7de2-4b2e-4b7d-9f5c-85c79051cd78,family,Protozoa,"",Urocentridae,"list(taxon_id = ""t0003137""","taicol_name_status = ""accepted"""
f1e18e4e-4d6d-4ebc-97ea-7b9ae0a3f8f5,family,Protozoa,"",Strombidinopsidae,"list(taxon_id = ""t0003125""","taicol_name_status = ""accepted"""
091e16ad-7d8f-401a-857b-6a68f23340d5,genus,Protozoa,"",Saprodinium,"list(taxon_id = ""t0006817""","taicol_name_status = ""accepted"""
714f257c-4e2f-4939-9429-8a503a1448ee,family,Protozoa,"",Thecacinetidae,"list(taxon_id = ""t0003128""","taicol_name_status = ""accepted"""
9c0f3e66-fd55-41bc-a175-752b896e1767,family,Protozoa,"",Gonyaulaceae,"list(taxon_id = ""t0003227""","taicol_name_status = ""accepted"""
1bae2dbd-2570-4a83-b271-5fa4f620687b,family,Protozoa,"",Peridiniaceae,"list(taxon_id = ""t0003264""","taicol_name_status = ""accepted"""
7d0b97dc-f5f3-4f4f-bff2-5257364e6196,family,Protozoa,"",Ceratiaceae,"list(taxon_id = ""t0003187""","taicol_name_status = ""accepted"""
bc3868e9-7daa-4b30-a9cd-86e5da3789cc,family,Protozoa,"",Ceratocoryaceae,"list(taxon_id = ""t0003189""","taicol_name_status = ""accepted"""
819f5a44-fbfb-43c3-8da4-41968755dbea,family,Protozoa,"",Glenodiniaceae,"list(taxon_id = ""t0003225""","taicol_name_status = ""accepted"""
5bfa33f2-f368-4b5b-90dd-339d959068dd,family,Protozoa,"",Heterodiniaceae,"list(taxon_id = ""t0003236""","taicol_name_status = ""accepted"""
7d8d0234-bf5c-4da9-9d62-3e2b21c514de,family,Protozoa,"",Oxytoxaceae,"list(taxon_id = ""t0003257""","taicol_name_status = ""accepted"""
cd869d1e-7d14-407b-afce-a809763a4631,family,Protozoa,"",Podolampadaceae,"list(taxon_id = ""t0003271""","taicol_name_status = ""accepted"""
5ae0503c-df4f-4656-9261-decf21c06086,family,Protozoa,"",Pyrophacaceae,"list(taxon_id = ""t0003281""","taicol_name_status = ""accepted"""
4105cfff-3e6f-4b5c-ab1e-12b34396f28f,family,Protozoa,"",Gymnodiniidae,"list(taxon_id = ""t0003232""","taicol_name_status = ""accepted"""
70c2c7f7-5e7e-4e1e-9ecc-be01494b4f40,family,Protozoa,"",Amphisoleniaceae,"list(taxon_id = ""t0003167""","taicol_name_status = ""accepted"""
c0b83ec2-6ae3-4042-9dbb-30eb7612b220,family,Protozoa,"",Dinophysiaceae,"list(taxon_id = ""t0003206""","taicol_name_status = ""accepted"""
6364ddd6-f0cb-437e-b5cf-e48e495d98ff,family,Protozoa,"",Pyrocystaceae,"list(taxon_id = ""t0003280""","taicol_name_status = ""accepted"""
32d3abe3-62b5-4e18-9f94-62d80cb88e2e,family,Protozoa,"",Gymnodiniaceae,"list(taxon_id = ""t0003231""","taicol_name_status = ""accepted"""
5b5ff09c-3e08-44b5-a2e5-4562bdebadd2,family,Protozoa,"",Noctilucaceae,"list(taxon_id = ""t0003251""","taicol_name_status = ""accepted"""
9882b378-e684-4326-ad28-455066fa526c,family,Protozoa,"",Prorocentraceae,"list(taxon_id = ""t0003274""","taicol_name_status = ""accepted"""
5c98d16a-b7c2-4c03-a68a-8a147c302419,family,Protozoa,"",Oodiniaceae,"list(taxon_id = ""t0003255""","taicol_name_status = ""accepted"""
a37855a0-b1bd-4468-824f-6a5d2a11742c,family,Protozoa,"",Lecudinidae,"list(taxon_id = ""t0003240""","taicol_name_status = ""accepted"""
c2eefac8-1731-41ff-a157-994723a30a63,family,Protozoa,"",Kudoidae,"list(taxon_id = ""t0003239""","taicol_name_status = ""accepted"""
8c14da6d-e056-41b8-9a10-a25d83ed42ff,family,Protozoa,"",Myxobolidae,"list(taxon_id = ""t0003248""","taicol_name_status = ""accepted"""
056b2f7e-f064-47fe-991b-09528f784f24,order,Bacteria,"",Hormogonales,[],
283849f4-b2af-4bf4-9f3c-56f652358855,order,Plantae,"",Tetrasporales,[],
393c1148-f3c6-43c9-911c-a83b19f73761,family,Plantae,"",Gloeocystaceae,[],
13cdd4ba-f0b9-4d6e-9542-f90c26e041d5,family,Plantae,"",Coelastraceae,[],
d9765d5f-a491-4b8d-9c82-8bee784d611c,family,Plantae,"",Chlorococcaceae,[],
98d86732-4745-40d8-963d-d67af778ea43,family,Plantae,"",Dictyosphaeriaceae,[],
1f990f65-b360-43c9-ab2c-2e7ec9b1917d,genus,Animalia,"",Cosell,"list(taxon_id = ""t0012329""","taicol_name_status = ""not-accepted"""
346bcdcc-cb6a-4cb4-93e3-6a42c2851b35,genus,Animalia,"",Mesophoyx,[],
9f6903db-461a-4f45-ad5e-23ff84ab01ec,genus,Animalia,"",Caulastrea,"list(taxon_id = ""t0011480""","taicol_name_status = ""not-accepted"""
