TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
8e92e329-637d-4b0c-b1e3-9122d7ab9463,species,Animalia,t0065608,Hippeutis (Helicorbis),Hippeutis (Helicorbis) umbilicalis,accepted,TRUE
5323e024-890a-4df4-9a4f-2605c8e33d41,species,Animalia,t0065607,Hippeutis cantori,Helicorbis cantori,accepted,TRUE
c0659b0a-f54a-466f-a688-a9548bb3152a,species,Animalia,t0046163,Agoniella sonani,Agonia sonani,accepted,TRUE
7496a820-f3f4-4700-ac80-2c12a490c1ba,species,Animalia,t0078993,Temnaspis sauteri,Colobaspis sauteri,deleted,TRUE
2c4bb590-be26-4216-b1de-e0d1b6e7e8e6,species,Animalia,t0065094,Halticorcus smetanai,Schenklingia smetanai,accepted,TRUE
3f322a06-6402-4947-b1a6-85967ca3289f,species,Animalia,t0078167,Chirozetes formosanus,Mesochirozetes formosanus,accepted,TRUE
f29c9bed-110b-4845-8ed3-5a05559b67f4,species,Animalia,t0070417,Aeolesthes oenochrous,Hemadius oenochrous,accepted,TRUE
d151db81-22a9-45e9-8733-963c25a5cb42,species,Animalia,t0037037,Pseudokamikiria gressitti,Notomulciber gressitti,accepted,TRUE
fb9c012a-a208-417c-82fa-b88f10c3e675,species,Animalia,t0068259,Macroilleis hauser,Macroailleis hauser,accepted,TRUE
5e9e2f9c-fe04-4e79-beda-67ecae7d0ad8,species,Animalia,t0071958,Aphodius reichei,Gilletianus reichei,accepted,FALSE
37e20424-7254-48ad-8d89-cb7c91e27eee,species,Animalia,t0061969,Dorcus parvulus,Metallactulus parvulus,accepted,TRUE
76750196-649a-400f-af58-8e55798ccfe3,species,Animalia,t0068257,Macrohyliota cryptolucidus,Megahyliota cryptolucidus,accepted,TRUE
338da9f7-7478-479d-bac2-e24a4efaffd1,species,Animalia,t0048121,Trox formosanus,Glyptotrox formosanus,accepted,TRUE
979317bf-c2fd-4cf3-b97c-418e76228749,species,Animalia,t0048122,Trox taiwanus,Glyptotrox taiwanus,accepted,TRUE
ed4ab023-c30d-4d4a-9f62-c2ae49d3dba0,species,Animalia,t0048123,Trox tibialis,Glyptotrox tibialis,accepted,TRUE
7cc72108-0dcf-49f3-8a97-23bca7d85ad9,species,Animalia,t0048124,Trox yangi,Glyptotrox yangi,accepted,TRUE
01044a3e-1e17-4659-a198-1df4935ca379,species,Animalia,t0029680,Hilarographa mesostigmatias,Thaumatographa mesostigmatias,accepted,TRUE
3cf4abe9-6fd8-408e-ac18-297993f39e4d,species,Animalia,t0051014,Euproctis croceola,Toxoproctis croceola,accepted,TRUE
4d218faa-8d8f-4389-8d9d-7ad58ac9d8f2,species,Animalia,t0051037,Euproctis taiwana,Orvasca taiwana,accepted,TRUE
8187038b-4744-4505-a2c7-4d8c90042613,species,Animalia,t0031255,Olene dudgeoni,Cyclomacula dudgeoni,accepted,TRUE
a0810129-a60d-42fa-9b7f-25297bea7d21,species,Animalia,t0031257,Olene suisharyonis,Cyclomacula suisharyonis,accepted,TRUE
26e98a5d-6b67-4c39-b09a-4961522713c4,species,Animalia,t0055866,Pollanista inconspicua,Inope inconspicua,accepted,TRUE
fdb8a78c-686f-4b8f-81ef-1ec9c3648ed9,species,Animalia,t0050432,Conobathra aphidivora,Dipha aphidivora,accepted,TRUE
72f0125c-34ec-49b5-a64f-fc1aceb16c54,species,Animalia,t0049580,Agrotera leucostola,Leucinodella leucostola,accepted,TRUE
57f06f39-b309-48e7-b2fe-703ff931b26d,species,Animalia,t0056267,Sinibotys habisalis,Nephelobotys habisalis,accepted,TRUE
30655fe3-fb46-45a5-9515-d50771fcef1b,species,Animalia,t0033443,Torulisquama evenoralis,Nephelobotys evenoralis,accepted,TRUE
98f5e734-d268-42fd-8242-07aaabd4d3bc,species,Animalia,t0055831,Platyptilia shirozui,Amblyptilia shirozui,accepted,TRUE
d5c65d0f-b72a-42d8-a942-0e9efddc97d7,species,Animalia,t0052337,Palionebris bacteriota,Trachydora bacteriota,accepted,TRUE
fc851ca1-0d8a-4212-a8d3-8bd9321eace2,species,Animalia,t0051294,Haplotinea subochraceella,Edosa subochraceella,accepted,TRUE
3ff05c47-c046-48e1-bee5-d786aec88eb1,species,Animalia,t0033527,Acia exsultans,Helionides exsultans,accepted,TRUE
f6fa8f2d-f783-48cc-bba1-af2dd4b0eea1,species,Animalia,t0062845,Epiacanthus aurantia,Pagaronia aurantia,accepted,FALSE
acad3e7f-0ad4-4923-b067-95ecd174e6f3,species,Animalia,t0028635,Nesophrosyne orientalis,Orosius orientalis,accepted,TRUE
18ae7578-b95c-484a-94d1-89abd5607377,species,Animalia,t0028648,Zygina bisignatella,Empoascanara bisignatella,accepted,TRUE
31f0009a-6fd2-40de-ad21-25b004aaa024,species,Animalia,t0068650,Megacoelum minutum,Adelphocorisella minutum,accepted,TRUE
030412b1-daab-42b7-83ad-af552f117586,species,Animalia,t0081260,Neolygus bui,Miyamotolygus bui,accepted,TRUE
d171e6b6-a482-48f6-9d74-229a65bf4e16,species,Animalia,t0039705,Stenotus longiceps,Zalmunna longiceps,accepted,TRUE
73dc771a-08b5-4c73-a614-280c6df4b63b,species,Animalia,t0070119,Aconura biglumis,Changwhania biglumis,accepted,TRUE
d74b5d76-ee61-4c78-a4fc-bf0bc7bb01af,species,Animalia,t0070120,Aconura indrus,Stirellus indrus,accepted,TRUE
9eabc701-c0e0-4e8f-9f4e-f05753eda713,species,Animalia,t0099771,Aconura breviceps,Stirellus breviceps,accepted,TRUE
6de875fd-0fb1-4ffa-8153-710613f40a87,species,Animalia,t0070122,Aconura grandis,Stirellus grandis,accepted,TRUE
77b0612d-23b0-4cbb-b7f9-073465c085bc,species,Animalia,t0070123,Aconura productus,Stirellus productus,accepted,TRUE
9732bedb-686d-4d63-be14-f1dc40a20bd1,species,Animalia,t0070124,Aconura rubrolineatus,Stirellus rubrolineatus,accepted,TRUE
737b1253-e478-4c6b-b6d1-9e0a2ee6b7d7,species,Animalia,t0078458,Cicadula bipunctata,Cicadulina bipunctata,accepted,TRUE
411f2178-282a-4444-9ec5-bf46ed29f41c,species,Animalia,t0061224,Deltocephalus candidus,Futasujinus candidus,accepted,TRUE
a5512012-d4c3-4997-87c5-c5c7ba5526a2,species,Animalia,t0061226,Deltocephalus tezuyae,Takagiella tezuyae,accepted,TRUE
c7cf65c8-56b3-4fb1-b6b3-96bef4757345,species,Animalia,t0061966,Doratulina prolixa,Aconurella prolixa,accepted,TRUE
c753d7dd-f729-44eb-97de-9c9472cf2fd6,species,Animalia,t0066330,Irinula erythrocephala,Nesoclutha erythrocephala,accepted,TRUE
6a624dff-35a0-49eb-b467-9fd83c77b7c3,species,Animalia,t0068877,Melichariella formosana,Carvaka formosana,accepted,TRUE
ba2c31ee-87b9-4d98-a131-a9da4ae2df52,species,Animalia,t0037431,Purpuranus rubrostriata,Varta rubrostriata,accepted,TRUE
a37370cf-2cdb-4776-ab72-de37e3732012,species,Animalia,t0047216,Thamnotettix formosana,Alishania formosana,accepted,TRUE
6bfd363a-cb45-4299-9e87-48c716e5ebe3,species,Animalia,t0047217,Thamnotettix hokutonis,Peitouellus hokutonis,accepted,TRUE
74956bb6-69d4-4241-856b-2b7fbf69dad7,species,Animalia,t0047219,Thamnotettix koshunensis,Hengchunia koshunensis,accepted,TRUE
e7ae91ad-13a9-4f2b-9a36-ca4324575d3c,species,Animalia,t0047222,Thamnotettix wanrianus,Wanritettix wanrianus,accepted,TRUE
115f449e-dd4b-46c5-84d3-bd765629e367,species,Animalia,t0047301,Thomsoniella porrecta,Thomsonia porrecta,accepted,TRUE
c5ae4812-bace-4be9-9dd4-b19d6ff0215c,species,Animalia,t0082097,Oliarus formosanus,Siniarus formosanus,accepted,TRUE
5b733cfc-1ac8-4a33-9c0a-9ce015aa12b1,species,Animalia,t0082099,Oliarus harishanus,Atretus harishanus,accepted,TRUE
a2e49a27-85b1-4fae-ad16-c703120d446d,species,Animalia,t0082098,Oliarus hopponis,Arosinus hopponis,accepted,TRUE
8c2300c6-6bfd-4364-afd1-c638c6e2aa02,species,Animalia,t0082100,Oliarus hsui,Atretus hsui,accepted,TRUE
64b727f8-7661-402c-a2dc-07d1da386997,species,Animalia,t0082101,Oliarus oryzae,Oteana oryzae,accepted,TRUE
a34edf23-2b54-4fa0-b48e-b201528fc5cf,species,Animalia,t0082102,Oliarus scalenus,Siniarus scalenus,accepted,TRUE
73d4019a-1044-403b-a40e-f9661ca8620f,species,Animalia,t0082103,Oliarus shiaoi,Atretus shiaoi,accepted,TRUE
d32539a6-df57-4c4e-af33-72ba65a87537,species,Animalia,t0082106,Oliarus velox,Arosinus velox,accepted,TRUE
01007098-6ad3-48fe-82ea-4c5f18d82bd4,species,Animalia,t0082107,Oliarus yangi,Atretus yangi,accepted,TRUE
cd7e938b-92ae-43d0-9e0c-9f52a4caf6fd,species,Animalia,t0032527,Ricania fumosa,Trigonrecava fumosa,accepted,TRUE
c4d8e432-544d-460a-86ca-615d29dab5b6,species,Animalia,t0037908,Ricania taeniata,Trigonrecava taeniata,accepted,TRUE
