TT_simplifiedScientificName,hit_index,taicol_taxon_id,taicol_status
Cosell,1,t0012329,not-accepted
Oligonychus (Oligonychus),,,
Oligonychus (Pritchardinychus),,,
Oligonychus (Reckiella),,,
Oligonychus (Wainsteiniella),,,
Olingychus (Reckiella),,,
Panonychus (Panonychus),,,
Trombicula (Vorcana),,,
Lasibelba,,,
Takachihoa,,,
Pseudotriaeris,,,
Itatsina,,,
Pakawops,,,
Gamosellodes,,,
Melichares (Blattisocius),,,
Dendrolaelaps (Foveodendrolaelaps),,,
Perisesarma,,,
Aristemorpha,,,
Asthenognathus,,,
Pylocheles (Bathycheles),,,
Pylocheles (Pylocheles),,,
Pylocheles (Xylocheles),,,
Ranilia,,,
Lystmata,,,
Pachos (Pachysoma),,,
Corycaeus (Agetus),,,
Corycaeus (Corycaeus),,,
Corycaeus (Ditrichocorycaeus),,,
Corycaeus (Monocorycaeus),,,
Corycaeus (Onychocorycaeus),,,
Corycaeus (Urocorycaeus),,,
Paracylopina,,,
Acartia (Acanthacartia),,,
Acartia (Acartiura),,,
Acartia (Odontacartia),,,
Acartia (Plantacartia),,,
Farrania (Drepanopsis),,,
Totanus (Atortus),,,
Totanus (Eutortanus),,,
Totanus (Totanus),,,
Amphibalanus (Balanus),,,
Melophus,,,
Mesophoyx,1,[],
Loliolus (Nipponololigo),,,
Uroteuthis (Photololigo),,,
Heteroteuthis (Stephanoteuthis),,,
Cymatosyrinx (Splendrillia),,,
Elaeocyma (Splendrillia),,,
Lophiotoma (Lophioturris),,,
Marchia,,,
Terebra (Oxymeris),,,
Aegista (Plectotropis),,,
Hippeutis (Helicorbis),,,
Acanthochiton,,,
Australomussa,,,
Scolymia,,,
Symphyllia,,,
Acrhelia,,,
Caryophyllia (Acanthocyathus),,,
Caryophyllia (Caryophyllia),,,
Stephanocyathus (Acinocyathus),,,
Stephanocyathus (Odontocyathus),,,
Stephanocyathus (Stephanocyathus),,,
Trochocyathus (Trochocyathus),,,
Balanophyllia (Balanophyllia),,,
Barabattoia,,,
Caulastrea,1,t0011480,not-accepted
Leptoeris,,,
Montastrea,,,
Fungia (Danafungia),,,
Fungia (Lobactis),,,
Fungia (Pleuractis),,,
Fungia (Verrillofungia),,,
Fungia (Wellsofungia),,,
Flabellum (Flabellum),,,
Flabellum (Ulocyathus),,,
Fungiacyathus (Bathyactis),,,
Fungiacyathus (Fungiacyathus),,,
Phascolosoma (Phascolosoma),,,
Aspidosiphon (Aspidosiphon),,,
Aspidosiphon (Paraspidosiphon),,,
Themiste (Lagenopsis),,,
Sipunculus (Austrosiphon),,,
Sipunculus (Sipunculus),,,
Elaphropus (Tachyura),,,
Harpalus (Pseudoophonus),,,
Mimocolliuris (Paramimocolliuris),,,
Myas (Trigonognatha),,,
Odacantha (Heliocasnonia),,,
Pseudomenarus,,,
Carabus (Damaster),,,
Atrachya,,,
Chaetocnema (Chaetocnema),,,
Chaetocnema (Tlanoma),,,
Chlisolina (Hypericia),,,
Chlisolina (Lithopteroides),,,
Colobaspis,1,t0012157,not-accepted
Donacia (Cyphogaster),,,
Donacia (Donacia),,,
Donacia (Donaciomima),,,
Gastrophysa (Gastrophysa),,,
Gonioctena (Asiphytodecta),,,
Gonioctena (Brachyphytodecta),,,
Gonioctena (Gonioctena),,,
Lema (Lema),,,
Lema (Petauristes),,,
Lema (Quasilema),,,
Paridea (Paridea),,,
Paridea (Semacia),,,
Phyllodecta (Phyllodecta),,,
Anthonomus (Anthonomus),,,
Anthonomus (Tachypterellus),,,
Lixus (Ortholixus),,,
Metialma (Metialma),,,
Metialma (Permetialma),,,
Orchestes (Granulorchestes),,,
Smicronyx (Smicronyx),,,
Sternuchopsis (Mesalcidodes),,,
Sternuchopsis (Sternuchopsis),,,
Agelasta (Dissosira),,,
Astathes (Tetraophthalmus),,,
Glenea (Lobunguiglenea),,,
Idonia (Cryptopidonia),,,
Megopis (Aegolipton),,,
Pterolophia (Pterolophia),,,
Rondonia,,,
Xylotrechus (Xylotrechus),,,
Macrotoma (Bandar),,,
Leptacinus (Phacophallus),,,
Paederus (Eopaederus),,,
Paederus (Heteropaederus),,,
Paederus (Megalopaederus),,,
Paederus (Paederus),,,
Acrotrichis (Flachiana),,,
Nephus (Geminosipho),,,
Nephus (Nephus),,,
Nephus (Sidis),,,
Scymnus (Neopullus),,,
Scymnus (Parapullus),,,
Scymnus (Pullus),,,
Scymnus (Scymnus),,,
Sospita (Myzia),,,
Amarygmus (Oogeton),,,
Amarygmus (Pyanirygmus),,,
Plesiophthalmus (Inspinogeton),,,
Nalassus (Nalassus),,,
Aphodius (Acrossus),,,
Aphodius (Aganocrossus),,,
Aphodius (Balthasarianus),,,
Aphodius (Brachiaphodius),,,
Aphodius (Calamosternus),,,
Aphodius (Calaphodius),,,
Aphodius (Loboparius),,,
Aphodius (Nialus),,,
Aphodius (Paulianellus),,,
Aphodius (Phalacronothus),,,
Aphodius (Pharaphodius),,,
Aphodius (Platyderides),,,
Aphodius (Pleuraphodius),,,
Aphodius (Trichaphodius),,,
Caccobius (Caccobius),,,
Caccobius (Caccophilus),,,
Copris (Copris),,,
Odochilus (Odochilus),,,
Onthophagus (Colobonthophagus),,,
Onthophagus (Gibbonthophagus),,,
Onthophagus (Indachorius),,,
Onthophagus (Matashia),,,
Onthophagus (Micronthophagus),,,
Onthophagus (Onthophagiellus),,,
Onthophagus (Onthophagus),,,
Onthophagus (Palaeonthophagus),,,
Onthophagus (Paraphanaeomorphus),,,
Onthophagus (Parascatonomus),,,
Onthophagus (Phanaeomorphus),,,
Onthophagus (Serrophorus),,,
Onthophagus (Strandius),,,
Brachypeplus (Brachypeplus),,,
Brachypeplus (Selis),,,
Carpophilus (Capophilus),,,
Carpophilus (Ecnomorphus),,,
Carpophilus (Megacarpolus),,,
Carpophilus (Myothorax),,,
Epuraea (Epuraea),,,
Epuraea (Haptoncus),,,
Epuraea (Micruria),,,
Pallodes (Coxollodes),,,
Phenolia (Lasiodites),,,
Phenolia (Phenolia),,,
Prometopia (Prometopia),,,
Urophorus (Anophorus),,,
Agathidium (Agathidium),,,
Agathidium (Cyphoceble),,,
Agathidium (Macroceble),,,
Agathidium (Microceble),,,
Agathidium (Neoceble),,,
Colon (Myloechus),,,
Pseudcolenis (Pseudcolenis),,,
Leptapoderus (Leptapoderidius),,,
Leptapoderus (Pseudoleptapoderus),,,
Buprestis (Akiyamaia),,,
Coroebus,,,
