TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_rank,TC_kingdom,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
b110882c-ec87-4a71-9025-6ce8cab8f54d,species,Animalia,t0056214,Scorpaenodes crossotus,species,Animalia,Thysanichthys crossotus,accepted,TRUE
fb16b09b-9653-4c28-b90a-0a4afbab6bc8,species,Animalia,t0032812,Setarches longimanus,species,Animalia,Lythrichthys longimanus,accepted,TRUE
ea2dabf4-4788-4314-839e-aec4c619c321,species,Animalia,t0033026,Pomacentrus altus,species,Animalia,Plectroglyphidodon altus,accepted,TRUE
3334e304-dbb9-4ef0-8182-03fba117a472,species,Animalia,t0049989,Bembrops filifera,species,Animalia,Bembrops filifer,accepted,TRUE
32734f7f-e42a-4a66-9edf-479b7f6a70aa,species,Animalia,t0056816,Amoya janthinopterus,species,Animalia,Acentrogobius janthinopterus,accepted,TRUE
8dca2863-4cda-45c2-ac9d-20bbb757af9b,species,Animalia,t0052306,Oxyurichthys formosanus,species,Animalia,Oligolepis formosanus,accepted,TRUE
e3837603-7004-481b-b7a0-2393e719f1be,species,Animalia,t0032112,Priolepis cinctus,species,Animalia,Priolepis cincta,accepted,TRUE
590172ec-9a19-4aea-a702-406e9f92742c,species,Animalia,t0051582,Jaydia lineatus,species,Animalia,Jaydia lineata,accepted,TRUE
16e325ac-6a35-4fe1-b3b1-199fa6991ad0,species,Animalia,t0027353,Leiognathus equulus,species,Animalia,Leiognathus equula,accepted,TRUE
b77b7b07-7229-4a10-a0e1-c63f3b68ec1c,species,Animalia,t0030060,Calliurichthys izuensis,subspecies,Animalia,Callionymus persicus izuensis,accepted,TRUE
4424d841-7a8f-4646-842e-4473be31b550,species,Animalia,t0049952,Bathyclupea argentea,species,Animalia,Neobathyclupea argentea,accepted,FALSE
375f0a8b-e8c0-4c43-9db8-3f6b2e77b27c,species,Animalia,t0050833,Epigonus denticulatus,species,Animalia,Epigonus fragilis,accepted,TRUE
bb9015f1-beab-489a-ace1-4d84294ef49d,species,Animalia,t0056189,Scolopsis xenochroa,species,Animalia,Scolopsis xenochrous,accepted,TRUE
cb3461a3-6a9f-451b-9e03-189d80354931,species,Animalia,t0033387,Thryssa chefuensis,species,Animalia,Thrissina chefuensis,accepted,TRUE
c026f5c8-76ef-495b-9372-51696f8d9b57,species,Animalia,t0033388,Thryssa dussumieri,species,Animalia,Thrissina dussumieri,accepted,TRUE
3f59a1f3-60d6-4a18-9670-3d029c2938dc,species,Animalia,t0033389,Thryssa hamiltonii,species,Animalia,Thrissina hamiltonii,accepted,FALSE
