TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_rank,TC_kingdom,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
6776d8b1-65dd-4d21-b2ff-eb4c0f187440,infraspecies,Animalia,t0086196,Pyrrhula pyrrhula pyrrhula griseiventris,subspecies,Animalia,Pyrrhula pyrrhula griseiventris,accepted,TRUE
07d00afd-5120-4bf1-9baa-7a2f019b05e6,infraspecies,Animalia,t0103443,Chloris sinica sinica kawarahiba,subspecies,Animalia,Chloris sinica kawarahiba,accepted,TRUE
3c1a7e15-85f9-4e3c-8c64-f0b647715d7a,infraspecies,Animalia,t0085451,Chloris sinica sinica sinica,subspecies,Animalia,Chloris sinica sinica,accepted,TRUE
25535de6-8e38-4b6d-abec-df7c96767537,infraspecies,Animalia,t0085171,Acridotheres cristatellus cristatellus formosanus,subspecies,Animalia,Acridotheres cristatellus formosanus,accepted,TRUE
74b1b544-85c2-44cc-ac1d-463ac1c1a3f2,infraspecies,Animalia,t0085170,Acridotheres cristatellus cristatellus cristatellus,subspecies,Animalia,Acridotheres cristatellus cristatellus,accepted,TRUE
0ee58031-c8a4-4a19-b86b-289b52c26a3a,infraspecies,Animalia,t0085172,Acridotheres tristis tristis tristis,subspecies,Animalia,Acridotheres tristis tristis,accepted,TRUE
4a8b6baf-dea8-4cc7-a2a0-bc8fb9e389d3,infraspecies,Animalia,t0086306,Sturnia malabarica malabarica nemoricola,subspecies,Animalia,Sturnia malabarica nemoricola,accepted,TRUE
20cec283-49cb-4f0b-9516-e15b823c9bf1,infraspecies,Animalia,t0086307,Sturnus vulgaris vulgaris poltaratskyi,subspecies,Animalia,Sturnus vulgaris poltaratskyi,accepted,TRUE
e0b4b35f-f0c8-4d5d-8e40-bc307837dc8e,infraspecies,Animalia,t0085285,Arundinax aedon aedon rufescens,subspecies,Animalia,Arundinax aedon rufescens,accepted,TRUE
a0d2fed4-7813-491e-9bd4-f11609948a95,infraspecies,Animalia,t0029282,Garrulax canorus canorus canorus,subspecies,Animalia,Garrulax canorus canorus,accepted,TRUE
da672855-46d2-48fb-a808-0d69bea75af1,infraspecies,Animalia,t0057605,Alauda arvensis arvensis intermedia,subspecies,Animalia,Alauda arvensis intermedia,accepted,TRUE
d69e3872-b695-4ffc-a91d-0b9c2a77343e,infraspecies,Animalia,t0057607,Alauda gulgula gulgula wattersi,subspecies,Animalia,Alauda gulgula wattersi,accepted,TRUE
9472d259-7d45-491b-9cdf-a71df39b5fb1,infraspecies,Animalia,t0057606,Alauda gulgula gulgula coelivox,subspecies,Animalia,Alauda gulgula coelivox,accepted,TRUE
cf1e99de-2561-42a8-bc6e-311f42d5fbeb,infraspecies,Animalia,t0085260,Anthus gustavi gustavi gustavi,subspecies,Animalia,Anthus gustavi gustavi,accepted,TRUE
888cfe35-ff7a-42b5-82a6-85da821b2c09,infraspecies,Animalia,t0085261,Anthus hodgsoni hodgsoni hodgsoni,subspecies,Animalia,Anthus hodgsoni hodgsoni,accepted,TRUE
53ed2593-30f2-4b5d-9abd-4500007cfb08,infraspecies,Animalia,t0085262,Anthus hodgsoni hodgsoni yunnanensis,subspecies,Animalia,Anthus hodgsoni yunnanensis,accepted,TRUE
70e0066b-adc5-4e87-9372-3833bc248e24,infraspecies,Animalia,t0085263,Anthus pratensis pratensis pratensis,subspecies,Animalia,Anthus pratensis pratensis,accepted,TRUE
42914914-e05d-4b5d-ae0c-f811b8a4690c,infraspecies,Animalia,t0085264,Anthus richardi richardi dauricus,subspecies,Animalia,Anthus richardi dauricus,accepted,TRUE
51b9a226-1276-49d2-af6c-f86d56bc78cb,infraspecies,Animalia,t0085265,Anthus richardi richardi ussuriensis,subspecies,Animalia,Anthus richardi ussuriensis,accepted,TRUE
a3081e79-b4e5-4ad7-a9e8-079d8ff3fd96,infraspecies,Animalia,t0085267,Anthus spinoletta spinoletta blakistoni,subspecies,Animalia,Anthus spinoletta blakistoni,accepted,TRUE
245c4d29-02bd-43f1-ae86-b0ad137f1fec,infraspecies,Animalia,t0085268,Anthus trivialis trivialis trivialis,subspecies,Animalia,Anthus trivialis trivialis,accepted,TRUE
4c55ba23-9205-47ed-a9e2-868a312c96bc,infraspecies,Animalia,t0085936,Motacilla alba alba lugens,subspecies,Animalia,Motacilla alba lugens,accepted,TRUE
07a3a833-0a34-45f4-895f-8b20884c129f,infraspecies,Animalia,t0103446,Motacilla alba alba leucopsis,subspecies,Animalia,Motacilla alba leucopsis,accepted,TRUE
e483cb27-8ee7-4c45-8788-48a5947f1363,infraspecies,Animalia,t0085937,Motacilla alba alba ocularis,subspecies,Animalia,Motacilla alba ocularis,accepted,TRUE
08f25909-8a0a-4ec7-810f-eb1db1ac4184,infraspecies,Animalia,t0028109,Motacilla alba alba baicalensis,subspecies,Animalia,Motacilla alba baicalensis,accepted,TRUE
a1100897-c944-4066-a88d-3d086a21b1f0,infraspecies,Animalia,t0028110,Motacilla alba alba dukhunensis,subspecies,Animalia,Motacilla alba dukhunensis,accepted,TRUE
b5496d69-bc9c-4930-861f-8b7bd9d1e993,infraspecies,Animalia,t0085939,Motacilla cinerea cinerea cinerea,subspecies,Animalia,Motacilla cinerea cinerea,accepted,TRUE
5595f8ed-6f48-49e7-ae2b-f56603633648,infraspecies,Animalia,t0085940,Motacilla citreola citreola citreola,subspecies,Animalia,Motacilla citreola citreola,accepted,TRUE
e6cda6f3-e1ae-4d45-93e5-8899b23900f3,infraspecies,Animalia,t0028111,Motacilla flava flava thunbergi,subspecies,Animalia,Motacilla flava thunbergi,accepted,TRUE
2959ea17-86a2-439b-bf09-20d91c924c96,infraspecies,Animalia,t0085941,Motacilla flava flava lutea,subspecies,Animalia,Motacilla flava lutea,accepted,TRUE
b0aeff40-5a65-4bfc-b9d5-3a62101a3dda,infraspecies,Animalia,t0085127,Motacilla tschutschensis tschutschensis tschutschensis,subspecies,Animalia,Motacilla tschutschensis tschutschensis,accepted,TRUE
e5ab17fb-88e9-42d8-b6b0-08591e8520b7,infraspecies,Animalia,t0085942,Motacilla tschutschensis tschutschensis macronyx,subspecies,Animalia,Motacilla tschutschensis macronyx,accepted,TRUE
abcc8154-653d-46a2-a6a4-8f3c083acedd,infraspecies,Animalia,t0085943,Motacilla tschutschensis tschutschensis taivana,subspecies,Animalia,Motacilla tschutschensis taivana,accepted,TRUE
80736154-3946-41d3-868e-352d78c707c2,infraspecies,Animalia,t0029907,Bombycilla garrulus garrulus garrulus,subspecies,Animalia,Bombycilla garrulus garrulus,accepted,TRUE
758e0c4d-ec49-4c73-91a1-620eeca20267,infraspecies,Animalia,t0085493,Copsychus saularis saularis saularis,subspecies,Animalia,Copsychus saularis saularis,accepted,TRUE
3d4f3023-acd3-45fe-ae37-2ccfee35be17,infraspecies,Animalia,t0085527,Cyanoptila cyanomelana cyanomelana cyanomelana,subspecies,Animalia,Cyanoptila cyanomelana cyanomelana,accepted,TRUE
4939e0f2-ac3d-407c-92da-035235044da9,infraspecies,Animalia,t0029205,Ficedula hyperythra hyperythra innexa,subspecies,Animalia,Ficedula hyperythra innexa,accepted,TRUE
62a55bbe-21ca-4c16-bbff-168d8d76b261,infraspecies,Animalia,t0085811,Larvivora cyane cyane bochaiensis,subspecies,Animalia,Larvivora cyane bochaiensis,accepted,TRUE
580aed3d-062c-414a-876c-7cec93ad6d92,infraspecies,Animalia,t0085812,Larvivora cyane cyane cyane,subspecies,Animalia,Larvivora cyane cyane,accepted,TRUE
d67446c5-0a6f-4b5b-bf75-19ef3300cb4b,infraspecies,Animalia,t0028094,Monticola solitarius solitarius philippensis,subspecies,Animalia,Monticola solitarius philippensis,accepted,TRUE
0df71c7a-798d-4b92-b56f-974f6b7edc42,infraspecies,Animalia,t0028093,Monticola solitarius solitarius pandoo,subspecies,Animalia,Monticola solitarius pandoo,accepted,TRUE
97166694-e7a0-4058-9323-34494047cb92,infraspecies,Animalia,t0085947,Muscicapa dauurica dauurica dauurica,subspecies,Animalia,Muscicapa dauurica dauurica,accepted,TRUE
fc4a725b-de7d-4f9d-82a1-fc592d75333c,infraspecies,Animalia,t0085948,Muscicapa sibirica sibirica sibirica,subspecies,Animalia,Muscicapa sibirica sibirica,accepted,TRUE
ceafe56d-4595-4aad-88e9-557daaf8167f,infraspecies,Animalia,t0085969,Niltava sundara sundara denotata,subspecies,Animalia,Niltava sundara denotata,accepted,TRUE
afac38c1-dd68-4408-a2db-212704852aa9,infraspecies,Animalia,t0085999,Oenanthe deserti deserti oreophila,subspecies,Animalia,Oenanthe deserti oreophila,accepted,TRUE
a5d3df95-f3dd-4942-be21-cd4327a33303,infraspecies,Animalia,t0103447,Oenanthe deserti deserti atrogularis,subspecies,Animalia,Oenanthe deserti atrogularis,accepted,TRUE
d67e98b5-9dbb-47a3-9f53-e87bca8eadd3,infraspecies,Animalia,t0086000,Oenanthe oenanthe oenanthe oenanthe,subspecies,Animalia,Oenanthe oenanthe oenanthe,accepted,TRUE
023a93a2-5d5e-407c-95f7-c923f8bda448,infraspecies,Animalia,t0086101,Phoenicurus auroreus auroreus auroreus,subspecies,Animalia,Phoenicurus auroreus auroreus,accepted,TRUE
cb356438-6649-4f2b-82af-fb6cfcef282a,infraspecies,Animalia,t0031833,Phoenicurus fuliginosus fuliginosus affinis,subspecies,Animalia,Phoenicurus fuliginosus affinis,accepted,TRUE
9c7ee1eb-c57b-437f-9517-b4e941caa556,infraspecies,Animalia,t0086102,Phoenicurus fuliginosus fuliginosus fuliginosus,subspecies,Animalia,Phoenicurus fuliginosus fuliginosus,accepted,TRUE
725d4322-933a-45ea-a5f7-103eb4e272c5,infraspecies,Animalia,t0086103,Phoenicurus ochruros ochruros rufiventris,subspecies,Animalia,Phoenicurus ochruros rufiventris,accepted,TRUE
50595939-0fd1-4793-ae54-71dbb76abfa7,infraspecies,Animalia,t0086227,Saxicola ferreus ferreus haringtoni,subspecies,Animalia,Saxicola ferreus haringtoni,accepted,TRUE
0d7e3678-71c8-494a-a131-f719c865223e,infraspecies,Animalia,t0085343,Brachypteryx leucophris leucophris carolinae,subspecies,Animalia,Brachypteryx leucophris carolinae,accepted,TRUE
7a1e7ef8-f28d-43d1-97b7-c95dc275b04d,infraspecies,Animalia,t0085367,Calliope calliope calliope camtschatkensis,subspecies,Animalia,Calliope calliope camtschatkensis,accepted,TRUE
ef8db97c-61fb-4655-b57e-f0357f1fda5c,infraspecies,Animalia,t0085366,Calliope calliope calliope calliope,subspecies,Animalia,Calliope calliope calliope,accepted,TRUE
2a067f71-4558-41d1-a01f-6633ee16425a,infraspecies,Animalia,t0085957,Myiomela leucura leucura montium,subspecies,Animalia,Myiomela leucura montium,accepted,TRUE
78fbfc69-ece2-4188-bc6a-feb95dce9704,infraspecies,Animalia,t0085625,Enicurus scouleri scouleri fortis,subspecies,Animalia,Enicurus scouleri fortis,accepted,TRUE
ee08a6cd-d0ec-4150-b3e8-f51736f545bb,infraspecies,Animalia,t0029079,Eumyias thalassinus thalassinus thalassinus,subspecies,Animalia,Eumyias thalassinus thalassinus,accepted,TRUE
37577c41-cdc9-4852-9f07-a1a19fefd89d,infraspecies,Animalia,t0085865,Luscinia svecica svecica svecica,subspecies,Animalia,Luscinia svecica svecica,accepted,TRUE
9d5152ec-411e-4b76-b98d-19a0fdef1a90,infraspecies,Animalia,t0085497,Corvus corone corone orientalis,subspecies,Animalia,Corvus corone orientalis,accepted,TRUE
e7ea8c85-e4e8-4ee2-8b9a-6a4d0bf1608b,infraspecies,Animalia,t0085498,Corvus frugilegus frugilegus pastinator,subspecies,Animalia,Corvus frugilegus pastinator,accepted,TRUE
cc944fac-1b91-4fcd-beee-4bf7062abd12,infraspecies,Animalia,t0085499,Corvus macrorhynchos macrorhynchos colonorum,subspecies,Animalia,Corvus macrorhynchos colonorum,accepted,TRUE
c53cb110-817c-45d0-8c82-9cbe8218d63e,infraspecies,Animalia,t0085500,Corvus splendens splendens insolens,subspecies,Animalia,Corvus splendens insolens,accepted,TRUE
e820d0f8-4a48-4885-a735-0adf9b0a8ed1,infraspecies,Animalia,t0085559,Dendrocitta formosae formosae formosae,subspecies,Animalia,Dendrocitta formosae formosae,accepted,TRUE
