TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
9fe8ec8f-b502-41c3-9a63-7fc6581522ee,subgenus,Animalia,t0107011,Ophiocoma (Breviturma),Breviturma,accepted,FALSE
b9031273-902c-4fc2-abb2-4f0b7c331d79,subgenus,Animalia,t0107086,Bos (Bubalus),Bubalus,accepted,FALSE
1ffeffde-8e5d-4700-a8b7-0a8ab4561bab,subgenus,Animalia,t0121684,Lioproctia (Burmanomyia),Burmanomyia,accepted,TRUE
1d56381c-3a90-4df0-8d39-8c7026010d46,subgenus,Animalia,t0121692,Macronychia (Moschusa),Moschusa,accepted,TRUE
358d20d5-80b2-4bbf-8003-3d4d76848e1d,subgenus,Animalia,t0121693,Senotainia (Arrenopus),Arrenopus,accepted,TRUE
0101b5f6-b02c-4072-b6a6-110476862fa7,subgenus,Animalia,t0121699,Sphenometopa (Asiaraba),Asiaraba,accepted,TRUE
fa1cc636-1dec-432e-822b-09cefaa71be2,subgenus,Animalia,t0121707,Helicophagella (Parabellieria),Parabellieria,accepted,TRUE
f373a885-608e-49d4-8048-2f35bf3bde1d,subgenus,Animalia,t0121712,Asceloctella (Asceloctella),Asceloctella,accepted,TRUE
7b551817-b78b-4db0-84f4-592f6c212fa5,subgenus,Animalia,t0121715,Myorhina (Pachystyleta),Pachystyleta,accepted,TRUE
7bacef47-f9d9-43d1-bd30-23f161779f45,subgenus,Animalia,t0121722,Liopygia (Liopygia),Liopygia,accepted,TRUE
c0369ede-b1a7-4d7c-8059-63bdb0566be4,subgenus,Animalia,t0121724,Liosarcophaga (Curranea),Curranea,accepted,TRUE
74c88636-4846-49d3-b6c3-9d4ff6612346,subgenus,Animalia,t0121725,Liosarcophaga (Liosarcophaga),Liosarcophaga,accepted,TRUE
7ff1b2ad-3a07-478d-b791-2cf643a5c9ad,subgenus,Animalia,t0121726,Liosarcophaga (Pandelleisca),Pandelleisca,accepted,TRUE
14777416-663b-44f7-8136-c8230c623a9d,subgenus,Animalia,t0121728,Parasarcophaga (Parasarcophaga),Parasarcophaga,accepted,TRUE
956ad0b8-140c-43b2-bf8e-2d43696a7944,subgenus,Animalia,t0121729,Parasarcophaga (Sinonipponia),Sinonipponia,accepted,TRUE
92813694-ec7f-488d-97ef-5d1ee633f3e3,subgenus,Animalia,t0121731,Robineauella (Digitiventra),Digitiventra,accepted,TRUE
81c41cb1-7d2c-4cf7-9101-bd3011350098,subgenus,Animalia,t0121734,Sarcosolomonia (Parkerimyia),Parkerimyia,accepted,TRUE
6344c1c4-5eda-4df7-9561-cb2bd74c073a,subgenus,Animalia,t0121741,Lioproctia (Coonoria),Coonoria,accepted,TRUE
cbd0ffaf-1f7d-45f4-a4df-ce3e58f78a92,subgenus,Animalia,t0122494,Metriogryllacris (Metriogryllacris),Metriogryllacris,accepted,TRUE
5d3b2dc5-4ebf-4ebe-87e4-41607f4438dc,subgenus,Animalia,t0122509,Coptodera (Coptoderina),Coptoderina,accepted,TRUE
88617164-28bc-4360-89cd-c1c47e33c273,subgenus,Animalia,t0122560,Netelia (Bessobates),Bessobates,accepted,FALSE
