taxonUUID,taxonRank,parentUUID,kingdom,simplifiedScientificName,nativeness,protectedStatusTW,categoryRedlistTW,categoryIUCN,groupID,reason,check_column,filtered_values,TT_URL
ecf71b80-30f8-494a-b739-6ca3ab368021,infraspecies,45fbed9c-3328-49f4-bc64-bbfbd8d94ce2,Plantae,Bulbophyllum albociliatum albociliatum,原生 Native,"","暫無危機（LC, Least Concern）","",45fbed9c-3328-49f4-bc64-bbfbd8d94ce2,國內紅皮書不同,categoryRedlistTW,";易危（VU, Vulnerable）",https://vvtaxatree.tbn.org.tw/taxa/ecf71b80-30f8-494a-b739-6ca3ab368021
4c586d0a-0d4d-4c7b-8712-bacf739ab73a,infraspecies,45fbed9c-3328-49f4-bc64-bbfbd8d94ce2,Plantae,Bulbophyllum albociliatum shanlinshiense,原生 Native,"","暫無危機（LC, Least Concern）","",45fbed9c-3328-49f4-bc64-bbfbd8d94ce2,國內紅皮書不同,categoryRedlistTW,";易危（VU, Vulnerable）",https://vvtaxatree.tbn.org.tw/taxa/4c586d0a-0d4d-4c7b-8712-bacf739ab73a
b7597a78-6819-4759-bb73-14537a079a71,infraspecies,45fbed9c-3328-49f4-bc64-bbfbd8d94ce2,Plantae,Bulbophyllum albociliatum weiminianum,原生 Native,"","易危（VU, Vulnerable）","",45fbed9c-3328-49f4-bc64-bbfbd8d94ce2,國內紅皮書不同,categoryRedlistTW,";易危（VU, Vulnerable）",https://vvtaxatree.tbn.org.tw/taxa/b7597a78-6819-4759-bb73-14537a079a71
464fc3dd-245a-4382-8c28-142e004287a4,species,600089fb-2f09-452d-b713-b69d079f3709,Plantae,Syzygium densinervium,原生 Native,"","","",464fc3dd-245a-4382-8c28-142e004287a4,國內紅皮書不同,categoryRedlistTW,";接近受脅（NT, Near Threatened）",https://vvtaxatree.tbn.org.tw/taxa/464fc3dd-245a-4382-8c28-142e004287a4
5c6dd4e2-d050-4536-ba35-a83dde98cc3e,infraspecies,464fc3dd-245a-4382-8c28-142e004287a4,Plantae,Syzygium densinervium insulare,原生 Native,"","接近受脅（NT, Near Threatened）","",464fc3dd-245a-4382-8c28-142e004287a4,國內紅皮書不同,categoryRedlistTW,";接近受脅（NT, Near Threatened）",https://vvtaxatree.tbn.org.tw/taxa/5c6dd4e2-d050-4536-ba35-a83dde98cc3e
46c31206-0608-473c-91a5-a32c9c4a7e2d,species,1a530047-bc28-401c-98a5-b1e391201d68,Plantae,Mitrastemon yamamotoi,原生 Native,"","","",46c31206-0608-473c-91a5-a32c9c4a7e2d,國內紅皮書不同,categoryRedlistTW,";易危（VU, Vulnerable）;瀕危（EN, Endangered）",https://vvtaxatree.tbn.org.tw/taxa/46c31206-0608-473c-91a5-a32c9c4a7e2d
1297085a-feeb-43fb-be3e-18ad581b343d,infraspecies,46c31206-0608-473c-91a5-a32c9c4a7e2d,Plantae,Mitrastemon yamamotoi yamamotoi,原生 Native,"","易危（VU, Vulnerable）","",46c31206-0608-473c-91a5-a32c9c4a7e2d,國內紅皮書不同,categoryRedlistTW,";易危（VU, Vulnerable）;瀕危（EN, Endangered）",https://vvtaxatree.tbn.org.tw/taxa/1297085a-feeb-43fb-be3e-18ad581b343d
898999d1-60d0-451b-9974-c8ac9653d828,infraspecies,46c31206-0608-473c-91a5-a32c9c4a7e2d,Plantae,Mitrastemon yamamotoi kanehirae,原生 Native,"","瀕危（EN, Endangered）","",46c31206-0608-473c-91a5-a32c9c4a7e2d,國內紅皮書不同,categoryRedlistTW,";易危（VU, Vulnerable）;瀕危（EN, Endangered）",https://vvtaxatree.tbn.org.tw/taxa/898999d1-60d0-451b-9974-c8ac9653d828
4927d39c-969e-4f49-8779-012eb539f51a,species,30abee3e-d1c7-412f-bedb-e9bcd408c019,Animalia,Graphium mullah,原生 Native,"","接近受脅（NT, Near Threatened）","",4927d39c-969e-4f49-8779-012eb539f51a,國內紅皮書不同,categoryRedlistTW,"接近受脅（NT, Near Threatened）;",https://vvtaxatree.tbn.org.tw/taxa/4927d39c-969e-4f49-8779-012eb539f51a
8ef80f7a-ad73-4ab5-8e62-88f991f9339d,infraspecies,4927d39c-969e-4f49-8779-012eb539f51a,Animalia,Graphium mullah mullah chungianus,原生 Native,"","接近受脅（NT, Near Threatened）","",4927d39c-969e-4f49-8779-012eb539f51a,國內紅皮書不同,categoryRedlistTW,"接近受脅（NT, Near Threatened）;",https://vvtaxatree.tbn.org.tw/taxa/8ef80f7a-ad73-4ab5-8e62-88f991f9339d
